SiteName,State,Latitude,Longitude,Ecoregion,Organization,NEON_SiteID,StreamPULSE_SiteID,date,Min_Elevation,Mean_Elevation,Max_Elevation,Mean_Slope,Aspect,WatershedArea_km2,LandCover_Water_km2,LandCover_Trees_km2,LandCover_Grass_km2,LandCover_FloodedVeg_km2,LandCover_Crop_km2,LandCover_ShrubScrub_km2,LandCover_Built_km2,LandCover_Bare_km2,ReachWidth_Avg_m,TransectDepth_Avg_cm,CanopyCover_Avg_perc,DOC_mgL,TDN_mgL,NH4_ugL,NO2NO3_ugL,SRP_ugL,TDP_ugL,TP_ugL,DIN_ugNL
New Hope Creek,NC,35.9795,-79.0018,Mid-atlantic,StreamPULSE,NA,NC_NHC,6/3/17,79.331,162.217,239.075,4.694,143.284,80.120092,0.2478,66.4217,4.8415,0,0.6238,0.3422,7.6387,0,14.2,24.75545455,94.224,3.19,0.26,16.91,102,12.3,12.6,14.9,118.9
Eno River,NC,36.0715,-79.0968,Mid-atlantic,StreamPULSE,NA,NC_Eno,6/4/17,148.589,200.722,261.463,3.443,170.741,171.004562,3.1858,113.0499,26.4358,0,2.7183,0.6826,24.7963,0.1126,14.94,48.67272727,79.82,5.16,0.69,25.56,436.5,28.1,19.3,22.9,462
Arikaree River,CO,39.75825,-102.4471,Central Plains,NEON,ARIK,NA,7/11/17,1180.108398,1504.586993,1817.128296,1.27007,76.776771,2632.3,0.0613,0.9291,0.9891,0,2234.5199,389.3081,5.9795,0.0547,1.8,6.208253968,2.912,6.16,0.31,59.46,51.3,18,21.1,109.2,110.8
Lower Knowton Fork Red Butte Creek,UT,40.8045,-111.7654,Great Basin,Other,NA,NA,7/18/17,1928.993,2241.965,2529.644,30.547,184.82,4.013346,0,0.6239,0,0,0,3.3863,0,0,1.44,8.823253968,87.62,0.67,0.1,4.5,54.1,3.1,24,58.4,58.6
1300 E Red Butte Creek,UT,40.7451,-111.8546,Great Basin,Other,NA,NA,7/19/17,1350.298,1941.432,2529.644,25.037,215.438,26.884847,0.048,1.4061,0.0653,0,0,22.1369,3.2061,0.0026,5.3,30.84090909,60.71,2.52,1.08,8.19,919.2,3.1,19.3,33,927.4
South Fork Mink Creek,ID,42.7074,-112.4228,Northern Rockies,Other,NA,NA,7/27/17,1628.869,1948.963,2628.515,12.262,302.154,27.761073,0,15.5278,0.4775,0,0.5289,11.2104,0,0,1.904,12.34737374,39.832,2.08,0.35,18.19,56.1,12.6,42.3,75.3,74.3
Black Earth Creek,WI,43.1097,-89.6408,Prairie Peninsula,StreamPULSE,NA,WI_BEC,8/8/17,264.312,311.303,376.884,6.952,331.801,27.483883,0.5449,12.6705,3.4593,0.0026,5.6365,0.2806,4.8278,0.0724,6.69,69.83850733,17.16,5.08,2.46,7.73,2510,3.1,12.2,46.6,2517.7
Brewery Creek,WI,43.125,-89.635,Prairie Peninsula,StreamPULSE,NA,WI_BRW,8/11/17,274.585,322.908,381.931,6.243,173.821,24.347762,0.1194,6.569,0.297,0,15.5998,0.0471,1.7242,0,3.92,18.5875,81.536,8.09,2.56,40.81,3295,3.1,52.8,132.9,3335.8
New Hope Creek,NC,35.9795,-79.0018,Mid-atlantic,StreamPULSE,NA,NC_NHC,5/27/18,79.331,162.217,239.075,4.694,143.284,80.120092,0.2478,66.4217,4.8415,0,0.6238,0.3422,7.6387,0,57.34285714,25.31468615,90.25714286,,,14.74,134,9.1,,22.3,148.7
Ichetucknee River,FL,29.9526,-82.7863,Southeast,StreamPULSE,NA,FL_ICHE2700,5/31/18,4.358,19.869,37.486,1.434,205.341,109.277649,0.0531,47.9781,11.6255,0,21.3963,11.8982,16.305,0.0098,25.3,108.4,89.96,5,0.64,4.6,790.5,2.9,19.7,24,795.1
Alexander Springs,FL,29.0812,-81.5662,Southeast,Other,NA,NA,6/2/18,2.013,25.197,58.948,1.83,244.752,220.109433,5.6991,175.9071,2.8569,5.8953,3.0516,24.1182,1.1788,1.1788,75,67.2,25.74,11.19,0.43,12.93,28.4,41.1,37.6,39.7,41.3
Pringle Creek,TX,33.37859,-97.78226,Southern Plains,NEON,PRIN,NA,6/9/18,255.291306,296.956076,339.106934,2.050944,93.26847,48.91,0.0839,12.0482,13.1079,0,16.5642,3.0156,4.0808,0.0005,5.3,18.90952381,59.23666667,7.7,0.22,6.7,5.7,6.4,1.2,17.1,12.4
McDiffit Creek,KS,38.94428,-96.44197,Prairie Peninsula,NEON,MCDI,NA,6/12/18,373.157593,425.230794,457.764252,3.353735,138.562271,22.58,0.1019,0.3787,16.7048,0,3.4459,1.9144,0.0564,0,3.36,14.12944444,92.196,16.9,0.92,84.84,98.7,2.9,23.8,57,183.6
Kings Creek,KS,39.10506,-96.60336,Prairie Peninsula,NEON,KING,NA,6/13/18,325.380981,391.516671,444.311218,7.909218,314.257549,13.04,0,0.6989,1.5453,0,0.0302,10.7758,0,0.0007,3.185714286,21.64917027,85.76285714,14.6,0.22,74.68,5.7,8.9,42.3,103.9,80.4
Pilgrim River,MI,47.1013,-88.5176,Great Lakes,StreamPULSE,NA,MI_PILG1,6/21/18,185.709,301.199,457.851,3.636,82.562,58.106225,0.0837,48.7306,3.8375,0.0019,0.1341,0.7252,4.5689,0,8.625,58.75992063,9.056666667,4.81,0.43,5.4,149,12.2,11.5,18.8,154.4
Pilgrim River,MI,47.1013,-88.5176,Great Lakes,StreamPULSE,NA,MI_PILG1,7/17/18,185.709,301.199,457.851,3.636,82.562,58.106225,0.0837,48.7306,3.8375,0.0019,0.1341,0.7252,4.5689,0,8.406666667,57.97466931,17.63666667,4.02,0.33,,115,5.2,,,115
