SiteName,State,Latitude,Longitude,Ecoregion,date,Min_Elevation,Mean_Elevation,Max_Elevation,Mean_Slope,Aspect,WatershedArea_km2,ReachWidth_Avg_m,TransectDepth_Avg_cm,CanopyCover_Avg_perc,DOC_mgL,TDN_mgL,NH4_ugL,NO2NO3_ugL,SRP_ugL,TDP_ugL,TP_ugL,DIN_ugNL,TDN_TP,DIN_SRP,LandCover_Water_perc,LandCover_Trees_perc,LandCover_Grass_perc,LandCover_FloodedVeg_perc,LandCover_Crop_perc,LandCover_ShrubScrub_perc,LandCover_Built_perc,LandCover_Bare_perc,CWDCover_perc,RockCover_perc,VegCover_perc,SedimentCover_perc,richness,simpsonsInfo,shannonsEvenness,WaterTemp_C_mean,DO_mgL_mean,Depth_m,Discharge_m3s,Light_PAR_mean,Denitrification_amended_mgNm2hr_mean,Denitrification_unamended_mgNm2hr_mean,Nfixation_unamended_mgNm2hr_mean,GPP_daily_mean,GPP_daily_sd,ER_daily_mean,ER_daily_sd,K600_daily_mean,K600_daily_sd
New Hope Creek,NC,35.9795,-79.0018,Mid-atlantic,6/3/17,79.331,162.217,239.075,4.694,143.284,80.120092,14.2,24.75545455,94.224,3.19,0.26,16.91,102,12.3,12.6,14.9,118.9,17.44966443,9.666666667,0.309285716,82.90267565,6.042803845,0,0.778581233,0.427108846,9.534062941,0,16.9680646,45.6714121,0,37.3605233,3,2.652800091,0.934585145,22.23337895,7.881473684,0.359387206,0.645975692,NA,1.640701698,0.42744657,0.002581789,1.083430562,0.168356604,-2.742838608,0.434709659,4.944492734,0.91805356
Eno River,NC,36.0715,-79.0968,Mid-atlantic,6/4/17,148.589,200.722,261.463,3.443,170.741,171.004562,14.94,48.67272727,79.82,5.16,0.69,25.56,436.5,28.1,19.3,22.9,462,30.13100437,16.44128114,1.862991234,66.10928894,15.45911974,0,1.589606715,0.399170637,14.50037339,0.065846197,2.7946537,45.4434994,0,33.1308222,3,3.154003918,0.750391177,23.85557895,6.175578947,0.365642855,0.6844024,NA,0.820789492,2.758663351,0.001352105,0.820623873,0.304879695,-5.557529697,1.855848772,5.115772622,1.835067105
Arikaree River,CO,39.75825,-102.4471,Central Plains,7/11/17,1180.108398,1504.586993,1817.128296,1.27007,76.776771,2632.3,1.8,6.208253968,2.912,6.16,0.31,59.46,51.3,18,21.1,109.2,110.8,2.838827839,6.155555556,0.002328762,0.035296129,0.037575504,0,84.88849675,14.78965543,0.227158759,0.002078031,0,0,40.4069767,59.5930233,2,1.928992925,0.973281529,NA,NA,NA,NA,NA,13.78137138,0.808361676,0.223716031,NA,NA,NA,NA,NA,NA
Lower Knowton Fork Red Butte Creek,UT,40.8045,-111.7654,Great Basin,7/18/17,1928.993,2241.965,2529.644,30.547,184.82,4.013346,1.44,8.823253968,87.62,0.67,0.1,4.5,54.1,3.1,24,58.4,58.6,1.712328767,18.90322581,0,15.545632,0,0,0,84.37597954,0,0,2.4813896,62.0347395,0,35.483871,3,1.955580437,0.687746882,9.579479167,9.0121875,0.08823254,NA,NA,3.228145125,0.118049902,0.002539166,NA,NA,NA,NA,NA,NA
1300 E Red Butte Creek,UT,40.7451,-111.8546,Great Basin,7/19/17,1350.298,1941.432,2529.644,25.037,215.438,26.884847,5.3,30.84090909,60.71,2.52,1.08,8.19,919.2,3.1,19.3,33,927.4,32.72727273,299.1612903,0.178539234,5.230083697,0.24288775,0,0,82.3396912,11.92530499,0.009670875,3.0162413,84.4547563,0,0,2,1.400226136,0.358211474,17.03041667,8.066770833,0.308409091,NA,NA,0.226091505,0.302864146,6.80E-04,0.946318224,0.330283393,-6.269691223,2.054184162,11.19471828,3.684380886
South Fork Mink Creek,ID,42.7074,-112.4228,Northern Rockies,7/27/17,1628.869,1948.963,2628.515,12.262,302.154,27.761073,1.904,12.34737374,39.832,2.08,0.35,18.19,56.1,12.6,42.3,75.3,74.3,4.648074369,5.896825397,0,55.93371697,1.720034381,0,1.905185725,40.38172444,0,0,2.4539877,66.8711656,8.7642419,21.9106047,4,1.9862309,0.653600664,14.85975694,7.997048611,0.112053571,0.023716,NA,1.720540632,0.133027782,0.342765088,0,0.10563019,-1.065045909,0.663317015,4.906306355,2.553993219
Black Earth Creek,WI,43.1097,-89.6408,Prairie Peninsula,8/8/17,264.312,311.303,376.884,6.952,331.801,27.483883,6.69,69.83850733,17.16,5.08,2.46,7.73,2510,3.1,12.2,46.6,2517.7,52.78969957,812.1612903,1.982616503,46.10156432,12.58664942,0.00946009,20.50838304,1.020961994,17.56593128,0.263427115,1.0131712,1.0131712,47.7203647,50.2532928,4,2.081304202,0.571222314,15.22603958,8.756597083,0.375090066,0.745322302,NA,15.45516776,7.179028387,8.01E-04,9.256395895,0.259303161,-13.58574581,0.41854585,9.402498668,0.310028461
Brewery Creek,WI,43.125,-89.635,Prairie Peninsula,8/11/17,274.585,322.908,381.931,6.243,173.821,24.347762,3.92,18.5875,81.536,8.09,2.56,40.81,3295,3.1,52.8,132.9,3335.8,19.26260346,1076.064516,0.490394148,26.97989244,1.219824639,0,64.07077579,0.193446938,7.081554354,0,22.3183391,0,11.6782007,66.0034602,3,2.003628415,0.78255533,15.11979063,8.072570313,0.228093409,0.137256958,NA,12.11513426,6.171676117,1.33E-04,2.029513134,0.105087361,-3.680179656,0.245368216,4.364915024,0.344970981
New Hope Creek,NC,35.9795,-79.0018,Mid-atlantic,5/27/18,79.331,162.217,239.075,4.694,143.284,80.120092,57.34285714,25.31468615,90.25714286,NA,NA,14.74,134,9.1,NA,22.3,148.7,NA,16.34065934,0.309285716,82.90267565,6.042803845,0,0.778581233,0.427108846,9.534062941,0,5,70.7222223,0,17.3888889,3,1.876522499,0.636226526,23.01452632,7.564736842,0.494844018,1.973904037,NA,0.83954324,0.276344643,0.003918657,0.622033066,0.185619116,-3.053956333,0.797765472,4.259501583,1.278342638
Ichetucknee River,FL,29.9526,-82.7863,Southeast,5/31/18,4.358,19.869,37.486,1.434,205.341,109.277649,25.3,108.4,89.96,5,0.64,4.6,790.5,2.9,19.7,24,795.1,26.66666667,274.1724138,0.048591821,43.90476958,10.63849754,0,19.57975871,10.88804537,14.92070899,0.008967982,35.2288488,0,30.3744799,34.3966713,3,2.987918221,0.998133336,22.65473684,4.819263158,0.775744648,8.824117474,NA,11.23649265,1.903274962,0.005688765,9.992784632,0.763747652,-24.68871595,2.381296856,4.450202078,0.520140983
Alexander Springs,FL,29.0812,-81.5662,Southeast,6/2/18,2.013,25.197,58.948,1.83,244.752,220.109433,75,67.2,25.74,11.19,0.43,12.93,28.4,41.1,37.6,39.7,41.3,10.83123426,1.00486618,2.589212067,79.91801969,1.297945282,2.678349546,1.386401282,10.95736774,0.535551786,0.535551786,5.9701493,0,63.1840796,30.8457711,3,2.008301438,0.747443688,NA,NA,NA,NA,NA,4.321355252,7.638155779,0.087243053,NA,NA,NA,NA,NA,NA
Pringle Creek,TX,33.37859,-97.78226,Southern Plains,6/9/18,255.291306,296.956076,339.106934,2.050944,93.26847,48.91,5.3,18.90952381,59.23666667,7.7,0.22,6.7,5.7,6.4,1.2,17.1,12.4,12.86549708,1.9375,0.171539562,24.6334083,26.80004089,0,33.86669393,6.165610305,8.343488039,0.001022286,0,34.084507,0,66.0093897,2,1.8119247,0.924834087,28.09335417,5.515104167,0.084189528,0.012250312,728.1032292,9.834435016,1.762837623,0.028051705,1.731180388,0.543060587,-2.258982282,0.814528025,1.727828018,0.571558149
McDiffett Creek,KS,38.94428,-96.44197,Prairie Peninsula,6/12/18,373.157593,425.230794,457.764252,3.353735,138.562271,22.58,3.36,14.12944444,92.196,16.9,0.92,84.84,98.7,2.9,23.8,57,183.6,16.14035088,63.31034483,0.451284322,1.677147919,73.98051373,0,15.26085031,8.47829938,0.249778565,0,0,39.0957447,0,45.7446809,2,2.761627562,1.045862955,20.97948256,3.964626731,0.066843603,5.23E-04,518.3633333,13.50375792,1.093430872,0.018372333,0.536673711,0.065912417,-0.880727645,0.19374984,0.972591945,0.498953492
Kings Creek,KS,39.10506,-96.60336,Prairie Peninsula,6/13/18,325.380981,391.516671,444.311218,7.909218,314.257549,13.04,3.185714286,21.64917027,85.76285714,14.6,0.22,74.68,5.7,8.9,42.3,103.9,80.4,2.117420597,9.033707865,0,5.359662577,11.85046012,0,0.231595092,82.63650307,0,0.005368098,0,59.1928251,0,26.4573991,2,2.378808898,0.955318014,24.41434896,1.985453125,0.193846154,NA,NA,7.71684757,0.31033059,0.061810633,0.882916453,0.182458061,-2.365790372,0.794689469,0.956074708,0.56765012
Pilgrim River,MI,47.1013,-88.5176,Great Lakes,6/21/18,185.709,301.199,457.851,3.636,82.562,58.106225,8.625,58.75992063,9.056666667,4.81,0.43,5.4,149,12.2,11.5,18.8,154.4,22.87234043,12.6557377,0.144046529,83.86468059,6.604283792,0.003269873,0.230784223,1.24805905,7.863012956,0,7.7294686,71.1352657,0,18.9613527,3,1.82498283,0.687635743,15.44927083,8.937041667,0.316485322,0.418145177,NA,0.149448097,0.232667923,0.017517457,0.392013698,0.17264442,-6.103730896,1.13749437,18.11071319,3.062574232
Pilgrim River,MI,47.1013,-88.5176,Great Lakes,7/17/18,185.709,301.199,457.851,3.636,82.562,58.106225,8.406666667,57.97466931,17.63666667,4.02,0.33,NA,115,5.2,NA,NA,115,NA,22.11538462,0.144046529,83.86468059,6.604283792,0.003269873,0.230784223,1.24805905,7.863012956,0,2.3284314,62.5,0,35.1715686,3,1.942233761,0.681605101,18.11259896,8.729380208,0.51487876,NA,NA,0.735043047,0.626320501,0.001566237,4.447932998,0.399146367,-9.867802753,0.843462859,15.12385521,1.211609163
Hubbard Brook,NH,43.9549,-71.7225,Northeast,8/7/18,521.332,634.925,721.779,15.16,198.504,0.375249,10.66,15.15714286,78,4.1,0.15,1.642,22.1,2.9,1.2,2.7,23.8,55.55555556,8.206896552,0,76.50919789,0,0,0,23.58434,0,0,0,100,0,0,1,1,NA,NA,NA,NA,NA,NA,0.094724775,0.057531012,0,NA,NA,NA,NA,NA,NA
Wednesday Hill Brook,NH,43.1222,-71.0049,Northeast,8/9/18,27.032,49.648,67.994,4.257,141.777,0.849116,1.716666667,5.85952381,92.69,8.6,0.78,1.642,494.7,9.1,19.7,18.8,496.3,41.4893617,54.53846154,0,72.14561968,0,0,0,0,27.77005733,0,7.3053892,66.4670659,0,26.2275449,3,1.938313682,0.740627508,19.76284211,8.601894737,0.109784014,0.011444991,NA,0.62486241,0.339685237,0.00262383,0,0.017155273,-0.962836443,0.294846303,16.13462781,4.610570486
