Date,season,GPP,ER,AFDMrock,AFDMsediment,Chlorophylla,temperature,Canopy,PAR,discharge1DayPrev,DOC,TDN,NH4,NO32,DON,SRP,TDP,DenitRock,DenitRockSD,NfixRock,NfixRockSD,DenitSed,DenitSedSD,NfixSed,NfixSedSD
2017-05-22,Spring,NA,NA,0.213645,2.033333333,0.116522803,8.713708333,32.24,1633.63,1683.675024,6.249,0.2803,0.009212607,0.051771776,0.219315617,0.003075567,0.014392828,13.05790759,26.11581518,0.00001,NA,341.7984989,0,8.731226533,9.302586681
2017-05-23,Spring,NA,NA,0.203589231,3.75,0.056463954,8.19575,18.98,2678.266667,6741.24,6.197,0.2829,0.007184882,0.053257269,0.222457849,0.003075567,0.004649129,0.00001,0,0.00001,NA,95.35507225,190.7101445,1.40E-05,NA
2017-05-24,Spring,NA,NA,0.220185333,3,0.059349678,9.252,NA,2834.066667,1076.04,6.668,0.3075,0.005911809,0.07362837,0.227959821,0.003075567,0.004649129,147.8785245,304.5441635,0.00001,NA,746.177448,536.0335916,1.40E-05,NA
2017-05-25,Spring,NA,NA,0.250266667,4.76,0.07897245,9.725333333,NA,1290.266667,1042.375,6.654,0.2659,0.006497146,0.046803059,0.212599795,0.003075567,0.012236547,0.00001,NA,35.35473939,29.45187918,3245.595367,1460.801221,1.40E-05,NA
2017-05-26,Spring,NA,NA,0.254671111,4.633333333,0.045314535,10.93216667,NA,2642.166667,1065.575,5.225,0.248,0.011375716,0.05381753,0.182806753,0.003075567,0.004649129,351.8966435,262.551685,3.413139496,4.696921854,41.34630335,578.6880341,1.40E-05,NA
2017-05-27,Spring,NA,NA,0.244402222,3.466666667,0.048248157,10.439,29.12,1723.333333,996.533,4.826,0.2117,0.001449819,0.042116073,0.168134108,0.003075567,0.010470873,0.00001,NA,20.9141577,28.06585731,3899.239643,3230.513104,1.40E-05,NA
2017-06-22,summer,NA,NA,NA,NA,NA,13.812875,NA,548.3876667,925.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-30,summer,NA,NA,0.207301818,2.972727273,0.022520267,12.77754167,41.08,312.74,948.46,8.052,0.3641,NA,0.105227107,NA,0.042483574,0.015767895,0.00001,NA,0.00001,NA,5835.15305,788.0100468,11.98831808,3.369738698
2017-07-14,summer,NA,NA,NA,NA,NA,11.32375,NA,1151.566667,588.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-15,summer,NA,NA,0.257024444,2.9625,0.025895294,11.57458333,NA,783.35,488.545,4.843,0.2521,NA,0.115673579,NA,0.003075567,0.012236547,342.0100356,299.7459905,12.1779027,18.80451406,3655.066756,3716.144386,1.40E-05,NA
2017-08-18,summer,NA,NA,NA,NA,NA,12.79416667,NA,243.7656667,1793.498628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01,Fall,NA,NA,NA,NA,0.082214112,8.394375,NA,886.2033333,545.4,5.898,0.3374,NA,0.137536576,NA,0.003075567,0.010846306,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-20,Fall,NA,NA,0.452953333,NA,NA,7.264125,NA,413.1890333,623.7670656,12.32,0.3279,0.002561521,0.099221586,0.226116893,0.005846778,0.02293793,64.87248134,57.10236166,NA,NA,NA,NA,NA,NA
