site,date,Year,GPP_mean,GPP_sd,GPP_2.5pct,GPP_50pct,GPP_97.5pct,ER_mean,ER_sd,ER_2.5pct,ER_50pct,ER_97.5pct,K600_daily_mean,K600_daily_sd,K600_daily_2.5pct,K600_daily_50pct,K600_daily_97.5pct,warnings,errors,AR_mean,AR_2.5pct,AR_97.5pct,HR_mean,HR_2.5pct,HR_97.5pct
Pilgrim1,2019-05-31,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data don't start when expected,NA,NA,NA,NA,NA,NA
Pilgrim1,2019-06-01,2019,5.892635466,0.593685386,4.749224964,5.886396033,7.03806965,-8.47279491,0.842901411,-10.10294471,-8.449454347,-6.893314259,18.76899621,1.361386005,16.17767202,18.72698714,21.45231866,NA,NA,-3.653433989,-5.008740146,-2.828465024,-4.819360921,-3.464054764,-5.644329886
Pilgrim1,2019-06-02,2019,5.171792471,0.572969116,4.143662397,5.159710573,6.400773543,-7.915868167,0.837694998,-9.6787282,-7.879771595,-6.371985781,18.42402817,1.364409068,15.85589757,18.36887407,21.22437567,NA,NA,-3.206511332,-4.3960236,-2.482460386,-4.709356835,-3.519844567,-5.433407781
Pilgrim1,2019-06-03,2019,4.983872339,0.571362015,3.916938372,4.972789392,6.171348771,-8.61472469,0.895285467,-10.41181547,-8.624960632,-6.929402491,18.87631668,1.475095309,16.15990042,18.83549266,21.90337573,NA,NA,-3.09000085,-4.236291488,-2.392258723,-5.52472384,-4.378433202,-6.222465968
Pilgrim1,2019-06-04,2019,6.040719218,0.594464412,4.922451405,6.028095117,7.204644551,-9.949865482,0.908565411,-11.83035123,-9.919863106,-8.163878307,18.42681557,1.369442809,15.83158804,18.39487006,21.32874716,NA,NA,-3.745245915,-5.134611336,-2.899545225,-6.204619566,-4.815254146,-7.050320257
Pilgrim1,2019-06-05,2019,4.607294458,0.495971098,3.603641901,4.606484463,5.530545702,-9.016750317,0.824265015,-10.63638674,-9.039403389,-7.388855329,17.90206152,1.282551328,15.30692447,17.91878283,20.39921144,NA,NA,-2.856522564,-3.916200289,-2.21150134,-6.160227754,-5.100550028,-6.805248978
Pilgrim1,2019-06-06,2019,6.597383121,0.623399323,5.387281046,6.57197864,7.863564246,-10.08963138,0.91009835,-11.8852147,-10.05724874,-8.355073509,18.64646167,1.351817334,15.97726723,18.61024558,21.40410392,NA,NA,-4.090377535,-5.607775653,-3.166743898,-5.999253846,-4.481855728,-6.922887483
Pilgrim1,2019-06-07,2019,7.37603582,0.675025636,6.027222148,7.374059329,8.6880445,-10.82796783,0.956158906,-12.78708696,-10.84437033,-8.960169041,19.01497184,1.35612851,16.4317879,18.971359,21.77900968,NA,NA,-4.573142208,-6.269630447,-3.540497194,-6.25482562,-4.558337381,-7.287470635
Pilgrim1,2019-06-08,2019,7.404839817,0.665914637,6.138221266,7.398807976,8.802377161,-11.96590461,1.002432529,-14.05924036,-11.93788631,-10.10481899,18.65701551,1.315177186,16.28523402,18.60644216,21.37320371,NA,NA,-4.591000687,-6.294113844,-3.554323112,-7.374903922,-5.671790764,-8.411581496
Pilgrim1,2019-06-09,2019,6.183420927,0.58525949,5.066008818,6.1796628,7.339954002,-11.66061327,1.00679719,-13.75079083,-11.67193964,-9.70798132,18.98600401,1.347230457,16.45096286,18.94363904,21.70352438,NA,NA,-3.833720975,-5.255907788,-2.968042045,-7.826892297,-6.404705484,-8.692571227
