site,date,Year,DO.obs,DO.sat,depth,temp.water,discharge,PARmax,PARsum,temp.watermax
Pilgrim1,2019-05-31,2019,8.813730769,10.61393726,0.30914586,12.70882051,0.385950026,222.4053001,670.6294804,14.916
Pilgrim1,2019-06-01,2019,10.12832813,10.67442033,0.30914586,12.49552604,0.38595,993.958964,37580.58401,15.534
Pilgrim1,2019-06-02,2019,10.14900521,10.75489036,0.30914586,12.17594792,0.38595,995.1583098,37680.67324,15.7005
Pilgrim1,2019-06-03,2019,10.27650521,11.02196025,0.30914586,11.06175521,0.38595,996.297522,37776.1286,13.47
Pilgrim1,2019-06-04,2019,9.899494792,10.6838855,0.30914586,12.45532813,0.38595,997.3770737,37866.95161,15.5255
Pilgrim1,2019-06-05,2019,9.68225,10.59632574,0.30914586,12.78898438,0.38595,998.3974252,37953.14409,15.058
Pilgrim1,2019-06-06,2019,9.528338542,10.17893868,0.30914586,14.67798958,0.38595,999.3590231,38034.70808,18.288
Pilgrim1,2019-06-07,2019,9.329125,9.960377946,0.30914586,15.66438542,0.38595,1000.262299,38111.64583,19.132
Pilgrim1,2019-06-08,2019,8.835260417,9.624109216,0.30914586,17.32276563,0.38595,1001.107667,38183.95972,21.127
Pilgrim1,2019-06-09,2019,8.842458333,9.870295114,0.30914586,16.02686979,0.38595,1001.895528,38251.65225,17.934
Pilgrim1,2019-06-10,2019,9.032213542,9.994447283,0.30914586,15.48490625,0.38595,1002.626262,38314.72598,19.01
Pilgrim1,2019-06-11,2019,9.004614583,10.05673236,0.30914586,15.20136979,0.38595,1003.300231,38373.18352,18.5485
Pilgrim1,2019-06-12,2019,9.197489583,10.32913811,0.30914586,13.91922396,0.38595,1003.933639,38427.02746,15.726
Pilgrim1,2019-06-13,2019,9.326619792,10.33599417,0.30914586,13.94123958,0.38595,1004.534187,38476.26038,17.099
Pilgrim1,2019-06-14,2019,9.189375,10.57567164,0.30914586,12.84132813,0.38595,1005.079431,38520.88476,13.688
Pilgrim1,2019-06-15,2019,9.4115625,10.35199677,0.30914586,13.87935938,0.38595,1005.569589,38560.90302,17.445
Pilgrim1,2019-06-16,2019,9.666270833,10.39130837,0.30914586,13.69132813,0.38595,1006.004855,38596.31745,16.9165
Pilgrim1,2019-06-17,2019,9.825546875,10.52819825,0.30914586,13.07421354,0.38595,1006.385404,38627.13019,15.105
Pilgrim1,2019-06-18,2019,9.633541667,10.32544077,0.30914586,13.96197396,0.38595,1006.711384,38653.34324,16.5265
Pilgrim1,2019-06-19,2019,9.411505208,10.11222972,0.30914586,14.98167188,0.38595,1006.982922,38674.95839,18.842
Pilgrim1,2019-06-20,2019,9.27775,10.18643983,0.30914586,14.58947396,0.38595,1007.200119,38692.8596,17.475
Pilgrim1,2019-06-21,2019,9.533744792,10.10504445,0.30914586,15.00040625,0.38595,1007.363055,38706.135,18.825
Pilgrim1,2019-06-22,2019,9.416833333,10.05926307,0.30914586,15.21996875,0.38595,1007.471783,38714.70975,19.245
Pilgrim1,2019-06-23,2019,9.195583333,10.41121931,0.30914586,13.54994271,0.38595,1007.526332,38718.58385,14.7095
Pilgrim1,2019-06-24,2019,9.092260417,10.48505818,0.30914586,13.22523438,0.38595,1007.526708,38717.7571,14.135
Pilgrim1,2019-06-25,2019,8.715546875,9.775513172,0.30914586,16.57679688,0.38595,1007.472889,38712.2291,20.4
Pilgrim1,2019-06-26,2019,8.385020833,9.415505511,0.30914586,18.35161458,0.38595,1007.364831,38701.99922,21.978
Pilgrim1,2019-06-27,2019,8.368130208,9.500541597,0.30914586,17.86277083,0.38595,1007.202465,38687.06664,20.174
Pilgrim1,2019-06-28,2019,8.201286458,9.305566958,0.30914586,18.93156771,0.38595,1006.985696,38667.43033,22.797
Pilgrim1,2019-06-29,2019,8.20325,9.309033276,0.30914586,18.92110417,0.38595,1006.714406,38643.08906,22.872
Pilgrim1,2019-06-30,2019,8.564484375,9.766579253,0.30914586,16.51608333,0.38595,1006.388451,38614.04143,18.103
Pilgrim1,2019-07-01,2019,8.4599375,9.703509424,0.30914586,16.83503646,0.38595,1006.007664,38580.28585,19.002
Pilgrim1,2019-07-02,2019,8.315619792,9.431498395,0.30914586,18.29971354,0.38595,1005.571854,38541.82058,22.4545
Pilgrim1,2019-07-03,2019,8.021234375,9.29182614,0.30914586,18.99922396,0.38595,1005.080807,38498.64373,22.342
Pilgrim1,2019-07-04,2019,7.969932292,9.288507748,0.30914586,18.99546354,0.38595,1004.534284,38450.7533,22.196
Pilgrim1,2019-07-05,2019,8.037833333,9.131290145,0.30914586,19.84592708,0.38595,1003.932026,38398.14719,23.006
Pilgrim1,2019-07-06,2019,8.378088542,9.346494463,0.30914586,18.68432292,0.38595,1003.273749,38340.82323,21.6405
Pilgrim1,2019-07-07,2019,8.965963542,9.840898361,0.30914586,16.19073438,0.38595,1002.559151,38278.77919,18.876
Pilgrim1,2019-07-08,2019,8.979385417,9.683428881,0.30914586,17.00280208,0.38595,1001.787905,38212.83184,20.5125
Pilgrim1,2019-07-09,2019,8.54940625,9.359936311,0.30914586,18.64160417,0.38595,1000.959667,38142.5308,21.8155
Pilgrim1,2019-07-10,2019,8.348979167,9.257324949,0.30914586,19.14969792,0.38595,1000.074071,38067.62162,22.037
Pilgrim1,2019-07-11,2019,8.904833333,9.472735368,0.30914586,18.03058854,0.38595,999.1307342,37988.10249,21.235
Pilgrim1,2019-07-12,2019,8.62375,9.459382365,0.30914586,18.12805208,0.38595,998.1292535,37903.97168,21.452
Pilgrim1,2019-07-13,2019,8.670776042,9.313591514,0.30914586,18.86948438,0.38595,997.0692103,37815.22758,22.354
Pilgrim1,2019-07-14,2019,8.965807292,9.398182954,0.30914586,18.43551042,0.38595,995.9501691,37723.53742,21.465
Pilgrim1,2019-07-15,2019,8.639635417,9.092833776,0.30914586,20.08227083,0.38595,994.7716794,37628.06328,24.157
Pilgrim1,2019-07-16,2019,7.931921875,9.111688088,0.30914586,19.93355208,0.38595,993.5332761,37528.04936,22.0785
Pilgrim1,2019-07-17,2019,8.191833333,9.297077112,0.30914586,18.91810417,0.38595,992.234481,37423.49359,21.068
Pilgrim1,2019-07-18,2019,8.163114583,9.506018815,0.30914586,17.807625,0.38595,990.8748041,37314.39423,18.985
Pilgrim1,2019-07-19,2019,8.31503125,9.375599889,0.30914586,18.49244792,0.38595,989.4537441,37200.74992,20.103
Pilgrim1,2019-07-20,2019,8.45434375,9.501965584,0.30914586,17.82948958,0.38595,987.9707902,37082.55973,18.96
Pilgrim1,2019-07-21,2019,8.759703125,9.620686534,0.30914586,17.24868229,0.38595,986.4254232,36959.82323,19.588
Pilgrim1,2019-07-22,2019,8.9473125,9.580352177,0.30914586,17.48573438,0.38595,984.8171166,36832.54052,20.55
Pilgrim1,2019-07-23,2019,8.813026042,9.425096377,0.30914586,18.2836875,0.38595,983.1453385,36700.71233,21.486
Pilgrim1,2019-07-24,2019,8.858328125,9.308588162,0.30914586,18.88657292,0.38595,981.4095523,36564.34002,21.7865
Pilgrim1,2019-07-25,2019,8.793265625,9.207227404,0.30914586,19.43903125,0.38595,979.6092187,36423.42569,22.5505
Pilgrim1,2019-07-26,2019,8.682901042,9.243021812,0.30914586,19.19476563,0.38595,977.743797,36277.97223,20.859
Pilgrim1,2019-07-27,2019,8.556359375,9.197512403,0.30914586,19.47430729,0.38595,975.8127465,36129.76179,22.388
Pilgrim1,2019-07-28,2019,8.667036458,9.331075656,0.30914586,18.73006771,0.38595,973.8155284,35979.64101,20.508
Pilgrim1,2019-07-29,2019,8.580864583,9.347551326,0.30914586,18.64872396,0.38595,971.7516072,35827.4841,20.9975
Pilgrim1,2019-07-30,2019,8.645145833,9.608264712,0.30914586,17.32386979,0.38595,969.6204521,35670.97785,19.969
Pilgrim1,2019-07-31,2019,9.389151042,9.758989499,0.30914586,16.60547396,0.38595,967.4215395,35510.12773,19.718
Pilgrim1,2019-08-01,2019,9.293973958,9.734456172,0.30914586,16.70488021,0.38595,965.1543536,35344.94031,18.876
Pilgrim1,2019-08-02,2019,8.8619375,9.296054272,0.30914586,18.95296354,0.38595,962.8183892,35175.4233,21.736
Pilgrim1,2019-08-03,2019,8.9861875,9.4083139,0.30914586,18.3370625,0.38595,960.4131528,35001.58564,20.6925
Pilgrim1,2019-08-04,2019,9.275098958,9.531802158,0.30914586,17.73228125,0.38595,957.9381647,34823.43756,20.6755
Pilgrim1,2019-08-05,2019,8.92021875,9.633055855,0.30914586,17.16982813,0.38595,955.3929608,34640.99063,18.414
Pilgrim1,2019-08-06,2019,8.92875,9.572311725,0.30914586,17.52244792,0.38595,952.7770944,34454.25784,20.458
Pilgrim1,2019-08-07,2019,8.851677083,9.542812425,0.30914586,17.64744271,0.38595,950.0901382,34264.60211,19.7595
Pilgrim1,2019-08-08,2019,9.0241875,9.55132591,0.30914586,17.59582813,0.38595,947.3316859,34073.87949,19.973
Pilgrim1,2019-08-09,2019,9.212880208,9.60205708,0.30914586,17.35589583,0.38595,944.5013546,33879.89906,20.107
Pilgrim1,2019-08-10,2019,9.560276042,9.678167053,0.30914586,16.99301563,0.38595,941.5987863,33684.80756,19.89
Pilgrim1,2019-08-11,2019,9.590791667,9.5557583,0.30914586,17.60727083,0.38595,938.6236499,33485.65649,20.09
Pilgrim1,2019-08-12,2019,9.367239583,9.63902977,0.30914586,17.15061458,0.38595,935.5756433,33282.46576,18.993
Pilgrim1,2019-08-13,2019,9.469197917,9.726006386,0.30914586,16.73009375,0.38595,932.4544952,33075.25706,19.035
Pilgrim1,2019-08-14,2019,9.786609375,10.02035308,0.30914586,15.32642188,0.38595,929.2599671,32864.05391,17.732
Pilgrim1,2019-08-15,2019,9.486255208,9.9279527,0.30914586,15.77182813,0.38595,925.991855,32648.88178,17.9135
Pilgrim1,2019-08-16,2019,7.500125,10.19144568,0.30914586,14.51025,0.38595,748.282432,7258.035857,NA
Pilgrim6,2019-06-17,2019,8.729858974,10.18308432,0.25814918,14.57128205,0.209040026,255.1577277,873.0697397,16.289
Pilgrim6,2019-06-18,2019,9.878651042,10.46900829,0.25814918,13.31832292,0.20904,1006.853488,38653.83677,15.311
Pilgrim6,2019-06-19,2019,9.897833333,10.51038976,0.25814918,13.18392188,0.20904,1007.124489,38675.52266,16.11
Pilgrim6,2019-06-20,2019,9.716166667,10.68539024,0.25814918,12.38409896,0.20904,1007.341187,38693.4821,13.276
Pilgrim6,2019-06-21,2019,9.860989583,10.55150862,0.25814918,13.00572917,0.20904,1007.503659,38706.74254,16.187
Pilgrim6,2019-06-22,2019,10.11044271,10.61240762,0.25814918,12.74622396,0.20904,1007.61196,38715.30421,15.761
Pilgrim6,2019-06-23,2019,10.24483333,10.71555927,0.25814918,12.29528125,0.20904,1007.666119,38719.16713,14.411
Pilgrim6,2019-06-24,2019,9.948489583,10.48587122,0.25814918,13.26864063,0.20904,1007.666143,38718.33112,15.965
Pilgrim6,2019-06-25,2019,9.670692708,10.29892212,0.25814918,14.13641667,0.20904,1007.612012,38712.79579,17.485
Pilgrim6,2019-06-26,2019,9.803130208,10.39673769,0.25814918,13.6600625,0.20904,1007.503681,38702.56052,16.323
Pilgrim6,2019-06-27,2019,9.759140625,10.31591127,0.25814918,14.04832292,0.20904,1007.341081,38687.62451,17.362
Pilgrim6,2019-06-28,2019,9.689390625,10.31852608,0.25814918,14.04379688,0.20904,1007.124118,38667.98675,17.459
Pilgrim6,2019-06-29,2019,9.537697917,10.64607182,0.25814918,12.55220313,0.20904,1006.852675,38643.64601,13.6385
Pilgrim6,2019-06-30,2019,9.288916667,10.66122567,0.25814918,12.48158333,0.20904,1006.526608,38614.6009,13.359
Pilgrim6,2019-07-01,2019,8.950109375,9.97248989,0.25814918,15.62169792,0.20904,1006.145751,38580.84985,18.92
Pilgrim6,2019-07-02,2019,8.720427083,9.673248896,0.25814918,17.03554688,0.20904,1005.709914,38542.39114,20.189
