siteID,K600_a_estimate,K600_a_sd,K600_b_estimate,K600_b_sd
BIGC,3.55,1.57,-0.11,0.19
BLDE,2.88,2.15,0.05,0.23
CARI,6.5,3.69,-0.32,0.36
COMO,3.17,0.32,0.27,0.04
CUPE,4.84,0.92,-0.03,0.11
GUIL,4.5,2.58,-0.1,0.28
HOPB,0.94,0.48,0.39,0.05
KING,0.06,2.76,0.36,0.3
LECO,0.66,1.85,0.5,0.19
LEWI,3.48,1.78,-0.07,0.23
MART,3.82,4.34,-0.23,0.54
MAYF,-0.04,5.46,0.35,0.57
MCDI,0.29,4.06,0.33,0.48
MCRA,2.37,0.93,0.22,0.11
OKSR,2.3,2.04,0.02,0.19
POSE,3.21,0.37,0.21,0.05
PRIN,2.37,0.97,-0.05,0.11
REDB,1.97,0.6,0.3,0.07
SYCA,5.15,2.77,-0.25,0.33
TECR,2.61,0.71,0.23,0.09
WALK,0.96,3.09,0.48,0.5
WLOU,2.48,0.31,0.33,0.04
