latitude,longitude,datetime,temp,sealevelpressure
48.202,-114.315,2019-08-08T00:00:00,16.2,1010
48.202,-114.315,2019-08-08T01:00:00,15.6,1009.8
48.202,-114.315,2019-08-08T02:00:00,12.9,1010.2
48.202,-114.315,2019-08-08T03:00:00,10.7,1010.2
48.202,-114.315,2019-08-08T04:00:00,11.2,1010.4
48.202,-114.315,2019-08-08T05:00:00,9.4,1010.8
48.202,-114.315,2019-08-08T06:00:00,8.9,1011.5
48.202,-114.315,2019-08-08T07:00:00,9.4,1011.7
48.202,-114.315,2019-08-08T08:00:00,13.8,1012
48.202,-114.315,2019-08-08T09:00:00,18.4,1012.1
48.202,-114.315,2019-08-08T10:00:00,21.7,1011.9
48.202,-114.315,2019-08-08T11:00:00,24.3,1011.7
48.202,-114.315,2019-08-08T12:00:00,26.2,1011.2
48.202,-114.315,2019-08-08T13:00:00,28.3,1010.6
48.202,-114.315,2019-08-08T14:00:00,30.7,1010.1
48.202,-114.315,2019-08-08T15:00:00,31.7,1009.7
48.202,-114.315,2019-08-08T16:00:00,32.2,1008.9
48.202,-114.315,2019-08-08T17:00:00,32.9,1008.4
48.202,-114.315,2019-08-08T18:00:00,32.9,1007.9
48.202,-114.315,2019-08-08T19:00:00,32.2,1007.3
48.202,-114.315,2019-08-08T20:00:00,31.2,1006.9
48.202,-114.315,2019-08-08T21:00:00,24.3,1007.3
48.202,-114.315,2019-08-08T22:00:00,22.2,1007.7
48.202,-114.315,2019-08-08T23:00:00,20,1008
48.202,-114.315,2019-08-09T00:00:00,18.4,1008
48.202,-114.315,2019-08-09T01:00:00,16.7,1008.4
48.202,-114.315,2019-08-09T02:00:00,23.9,1007.6
48.202,-114.315,2019-08-09T03:00:00,23.9,1007.6
48.202,-114.315,2019-08-09T04:00:00,20.6,1008
48.202,-114.315,2019-08-09T05:00:00,17.2,1008.6
48.202,-114.315,2019-08-09T06:00:00,16.2,1008.9
48.202,-114.315,2019-08-09T07:00:00,16.2,1009.4
48.202,-114.315,2019-08-09T08:00:00,17.2,1009.8
48.202,-114.315,2019-08-09T09:00:00,17.9,1010.7
48.202,-114.315,2019-08-09T10:00:00,18.4,1011.8
48.202,-114.315,2019-08-09T11:00:00,20.6,1012.3
48.202,-114.315,2019-08-09T12:00:00,21.2,1012.9
48.202,-114.315,2019-08-09T13:00:00,21.7,1013
48.202,-114.315,2019-08-09T14:00:00,22.2,1012.4
48.202,-114.315,2019-08-09T15:00:00,21.7,1012.4
48.202,-114.315,2019-08-09T16:00:00,20.6,1012.7
48.202,-114.315,2019-08-09T17:00:00,21.7,1012.8
48.202,-114.315,2019-08-09T18:00:00,20.6,1012.8
48.202,-114.315,2019-08-09T19:00:00,20,1012.7
48.202,-114.315,2019-08-09T20:00:00,19.3,1012.4
48.202,-114.315,2019-08-09T21:00:00,18.4,1012.6
48.202,-114.315,2019-08-09T22:00:00,17.9,1012.7
48.202,-114.315,2019-08-09T23:00:00,17.9,1012.6
48.202,-114.315,2019-08-10T00:00:00,17.9,1012.7
48.202,-114.315,2019-08-10T01:00:00,18.4,1012.9
48.202,-114.315,2019-08-10T02:00:00,17.2,1012.8
48.202,-114.315,2019-08-10T03:00:00,16.7,1012.8
48.202,-114.315,2019-08-10T04:00:00,16.7,1013
48.202,-114.315,2019-08-10T05:00:00,16.7,1013
48.202,-114.315,2019-08-10T06:00:00,15.6,1013.8
48.202,-114.315,2019-08-10T07:00:00,17.2,1014
48.202,-114.315,2019-08-10T08:00:00,17.9,1014.7
48.202,-114.315,2019-08-10T09:00:00,17.9,1015.1
48.202,-114.315,2019-08-10T10:00:00,20,1014.6
48.202,-114.315,2019-08-10T11:00:00,21.7,1014
48.202,-114.315,2019-08-10T12:00:00,22.9,1013.8
48.202,-114.315,2019-08-10T13:00:00,23.9,1013.2
48.202,-114.315,2019-08-10T14:00:00,24.3,1012.7
48.202,-114.315,2019-08-10T15:00:00,25.6,1012.2
48.202,-114.315,2019-08-10T16:00:00,27.2,1010.9
48.202,-114.315,2019-08-10T17:00:00,27.2,1009.9
48.202,-114.315,2019-08-10T18:00:00,26.7,1009.2
48.202,-114.315,2019-08-10T19:00:00,25.6,1009.4
48.202,-114.315,2019-08-10T20:00:00,23.3,1010.2
48.202,-114.315,2019-08-10T21:00:00,15.6,1014.5
48.202,-114.315,2019-08-10T22:00:00,15,1012.3
48.202,-114.315,2019-08-10T23:00:00,15,1014.4
48.202,-114.315,2019-08-11T00:00:00,15,1014.2
48.202,-114.315,2019-08-11T01:00:00,11.2,1014.6
48.202,-114.315,2019-08-11T02:00:00,11.2,1014.4
48.202,-114.315,2019-08-11T03:00:00,11.2,1013.6
48.202,-114.315,2019-08-11T04:00:00,10.7,1013.8
48.202,-114.315,2019-08-11T05:00:00,9.4,1014.1
48.202,-114.315,2019-08-11T06:00:00,8.9,1014.3
48.202,-114.315,2019-08-11T07:00:00,9.4,1014.3
48.202,-114.315,2019-08-11T08:00:00,12.9,1014.3
48.202,-114.315,2019-08-11T09:00:00,14.4,1015.3
48.202,-114.315,2019-08-11T10:00:00,14.4,1014.9
48.202,-114.315,2019-08-11T11:00:00,17.2,1014.2
48.202,-114.315,2019-08-11T12:00:00,18.4,1013.8
48.202,-114.315,2019-08-11T13:00:00,20.6,1013.7
48.202,-114.315,2019-08-11T14:00:00,20.6,1012.9
48.202,-114.315,2019-08-11T15:00:00,21.7,1012.5
48.202,-114.315,2019-08-11T16:00:00,21.2,1013
