MiniDOT Logger Concatenated Data File
Sensor:             7392-171833
Concatenation Date: 2018Jun19 17:22:22 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1528744140,           2018-06-11 19:09:00,           2018-06-11 15:09:00,      3.530000,     29.032000,          4.050000,                    52.688086,      0.985000
                1528744740,           2018-06-11 19:19:00,           2018-06-11 15:19:00,      3.530000,     26.946000,          4.115000,                    51.593632,      0.993000
                1528745340,           2018-06-11 19:29:00,           2018-06-11 15:29:00,      3.530000,     26.439000,          4.342000,                    53.945245,      0.997000
                1528745940,           2018-06-11 19:39:00,           2018-06-11 15:39:00,      3.530000,     26.354000,          4.441000,                    55.090546,      0.998000
                1528746540,           2018-06-11 19:49:00,           2018-06-11 15:49:00,      3.530000,     26.270000,          4.198000,                    51.997058,      0.998000
                1528747140,           2018-06-11 19:59:00,           2018-06-11 15:59:00,      3.530000,     26.278000,          4.080000,                    50.542810,      0.998000
                1528747740,           2018-06-11 20:09:00,           2018-06-11 16:09:00,      3.530000,     26.270000,          4.185000,                    51.836038,      0.999000
                1528748340,           2018-06-11 20:19:00,           2018-06-11 16:19:00,      3.530000,     26.320000,          4.194000,                    51.994534,      0.998000
                1528748940,           2018-06-11 20:29:00,           2018-06-11 16:29:00,      3.530000,     26.354000,          4.353000,                    53.998907,      0.998000
                1528749540,           2018-06-11 20:39:00,           2018-06-11 16:39:00,      3.520000,     26.346000,          4.714000,                    58.468649,      0.998000
                1528750140,           2018-06-11 20:49:00,           2018-06-11 16:49:00,      3.520000,     26.312000,          4.463000,                    55.321418,      0.998000
                1528750740,           2018-06-11 20:59:00,           2018-06-11 16:59:00,      3.530000,     26.304000,          4.370000,                    54.160790,      0.999000
                1528751340,           2018-06-11 21:09:00,           2018-06-11 17:09:00,      3.520000,     26.278000,          4.307000,                    53.354874,      0.998000
                1528751940,           2018-06-11 21:19:00,           2018-06-11 17:19:00,      3.520000,     26.278000,          4.047000,                    50.134008,      0.998000
                1528752540,           2018-06-11 21:29:00,           2018-06-11 17:29:00,      3.520000,     26.312000,          3.925000,                    48.652602,      0.999000
                1528753140,           2018-06-11 21:39:00,           2018-06-11 17:39:00,      3.520000,     26.320000,          3.958000,                    49.068757,      0.998000
                1528753740,           2018-06-11 21:49:00,           2018-06-11 17:49:00,      3.520000,     26.354000,          3.848000,                    47.734389,      0.999000
                1528754340,           2018-06-11 21:59:00,           2018-06-11 17:59:00,      3.520000,     26.413000,          4.003000,                    49.710140,      0.999000
                1528754940,           2018-06-11 22:09:00,           2018-06-11 18:09:00,      3.520000,     26.388000,          4.088000,                    50.742762,      0.998000
                1528755540,           2018-06-11 22:19:00,           2018-06-11 18:19:00,      3.520000,     26.363000,          3.944000,                    48.933229,      0.998000
                1528756140,           2018-06-11 22:29:00,           2018-06-11 18:29:00,      3.520000,     26.346000,          3.613000,                    44.812734,      0.998000
                1528756740,           2018-06-11 22:39:00,           2018-06-11 18:39:00,      3.520000,     26.371000,          3.620000,                    44.919855,      0.999000
                1528757340,           2018-06-11 22:49:00,           2018-06-11 18:49:00,      3.520000,     26.380000,          3.579000,                    44.418319,      0.999000
                1528757940,           2018-06-11 22:59:00,           2018-06-11 18:59:00,      3.520000,     26.405000,          3.673000,                    45.605535,      0.998000
                1528758540,           2018-06-11 23:09:00,           2018-06-11 19:09:00,      3.520000,     26.447000,          3.830000,                    47.591004,      0.998000
                1528759140,           2018-06-11 23:19:00,           2018-06-11 19:19:00,      3.520000,     26.422000,          3.783000,                    46.985770,      0.998000
                1528759740,           2018-06-11 23:29:00,           2018-06-11 19:29:00,      3.520000,     26.430000,          3.747000,                    46.545367,      0.999000
                1528760340,           2018-06-11 23:39:00,           2018-06-11 19:39:00,      3.520000,     26.430000,          3.711000,                    46.098173,      0.999000
                1528760940,           2018-06-11 23:49:00,           2018-06-11 19:49:00,      3.520000,     26.405000,          3.685000,                    45.754532,      0.998000
                1528761540,           2018-06-11 23:59:00,           2018-06-11 19:59:00,      3.520000,     26.413000,          3.707000,                    46.034346,      0.999000
                1528762140,           2018-06-12 00:09:00,           2018-06-11 20:09:00,      3.520000,     26.388000,          3.672000,                    45.579115,      0.999000
                1528762740,           2018-06-12 00:19:00,           2018-06-11 20:19:00,      3.520000,     26.396000,          3.572000,                    44.344264,      0.999000
                1528763340,           2018-06-12 00:29:00,           2018-06-11 20:29:00,      3.520000,     26.396000,          3.528000,                    43.798030,      0.999000
                1528763940,           2018-06-12 00:39:00,           2018-06-11 20:39:00,      3.520000,     26.456000,          3.660000,                    45.486001,      0.998000
