DateTime_UTC,DateTime_EST,WaterTemp_C,DO_mgL
           2018-06-11 19:09:00,           2018-06-11 15:09:00,29.032,4.05
           2018-06-11 19:19:00,           2018-06-11 15:19:00,26.946,4.115
           2018-06-11 19:29:00,           2018-06-11 15:29:00,26.439,4.342
           2018-06-11 19:39:00,           2018-06-11 15:39:00,26.354,4.441
           2018-06-11 19:49:00,           2018-06-11 15:49:00,26.27,4.198
           2018-06-11 19:59:00,           2018-06-11 15:59:00,26.278,4.08
           2018-06-11 20:09:00,           2018-06-11 16:09:00,26.27,4.185
           2018-06-11 20:19:00,           2018-06-11 16:19:00,26.32,4.194
           2018-06-11 20:29:00,           2018-06-11 16:29:00,26.354,4.353
           2018-06-11 20:39:00,           2018-06-11 16:39:00,26.346,4.714
           2018-06-11 20:49:00,           2018-06-11 16:49:00,26.312,4.463
           2018-06-11 20:59:00,           2018-06-11 16:59:00,26.304,4.37
           2018-06-11 21:09:00,           2018-06-11 17:09:00,26.278,4.307
           2018-06-11 21:19:00,           2018-06-11 17:19:00,26.278,4.047
           2018-06-11 21:29:00,           2018-06-11 17:29:00,26.312,3.925
           2018-06-11 21:39:00,           2018-06-11 17:39:00,26.32,3.958
           2018-06-11 21:49:00,           2018-06-11 17:49:00,26.354,3.848
           2018-06-11 21:59:00,           2018-06-11 17:59:00,26.413,4.003
           2018-06-11 22:09:00,           2018-06-11 18:09:00,26.388,4.088
           2018-06-11 22:19:00,           2018-06-11 18:19:00,26.363,3.944
           2018-06-11 22:29:00,           2018-06-11 18:29:00,26.346,3.613
           2018-06-11 22:39:00,           2018-06-11 18:39:00,26.371,3.62
           2018-06-11 22:49:00,           2018-06-11 18:49:00,26.38,3.579
           2018-06-11 22:59:00,           2018-06-11 18:59:00,26.405,3.673
           2018-06-11 23:09:00,           2018-06-11 19:09:00,26.447,3.83
           2018-06-11 23:19:00,           2018-06-11 19:19:00,26.422,3.783
           2018-06-11 23:29:00,           2018-06-11 19:29:00,26.43,3.747
           2018-06-11 23:39:00,           2018-06-11 19:39:00,26.43,3.711
           2018-06-11 23:49:00,           2018-06-11 19:49:00,26.405,3.685
           2018-06-11 23:59:00,           2018-06-11 19:59:00,26.413,3.707
           2018-06-12 00:09:00,           2018-06-11 20:09:00,26.388,3.672
           2018-06-12 00:19:00,           2018-06-11 20:19:00,26.396,3.572
           2018-06-12 00:29:00,           2018-06-11 20:29:00,26.396,3.528
           2018-06-12 00:39:00,           2018-06-11 20:39:00,26.456,3.66
           2018-06-12 00:49:00,           2018-06-11 20:49:00,26.38,3.174
           2018-06-12 00:59:00,           2018-06-11 20:59:00,26.32,1.864
           2018-06-12 01:09:00,           2018-06-11 21:09:00,26.38,2.727
           2018-06-12 01:19:00,           2018-06-11 21:19:00,26.396,3.128
           2018-06-12 01:29:00,           2018-06-11 21:29:00,26.363,3.126
           2018-06-12 01:39:00,           2018-06-11 21:39:00,26.396,3.241
           2018-06-12 01:49:00,           2018-06-11 21:49:00,26.371,3.282
           2018-06-12 01:59:00,           2018-06-11 21:59:00,26.312,3.292
           2018-06-12 02:09:00,           2018-06-11 22:09:00,26.295,3.215
           2018-06-12 02:19:00,           2018-06-11 22:19:00,26.27,3.188
           2018-06-12 02:29:00,           2018-06-11 22:29:00,26.261,3.141
           2018-06-12 02:39:00,           2018-06-11 22:39:00,26.27,3.075
           2018-06-12 02:49:00,           2018-06-11 22:49:00,26.185,2.954
           2018-06-12 02:59:00,           2018-06-11 22:59:00,26.261,2.897
           2018-06-12 03:09:00,           2018-06-11 23:09:00,26.219,2.781
           2018-06-12 03:19:00,           2018-06-11 23:19:00,26.185,2.72
           2018-06-12 03:29:00,           2018-06-11 23:29:00,26.219,2.792
           2018-06-12 03:39:00,           2018-06-11 23:39:00,26.202,2.866
           2018-06-12 03:49:00,           2018-06-11 23:49:00,26.093,2.841
           2018-06-12 03:59:00,           2018-06-11 23:59:00,26.059,2.835
           2018-06-12 04:09:00,           2018-06-12 00:09:00,26.025,2.981
           2018-06-12 04:19:00,           2018-06-12 00:19:00,26.008,2.893
           2018-06-12 04:29:00,           2018-06-12 00:29:00,25.949,2.844
           2018-06-12 04:39:00,           2018-06-12 00:39:00,25.932,2.747
           2018-06-12 04:49:00,           2018-06-12 00:49:00,25.882,2.807
           2018-06-12 04:59:00,           2018-06-12 00:59:00,25.831,2.866
           2018-06-12 05:09:00,           2018-06-12 01:09:00,25.806,2.82
           2018-06-12 05:19:00,           2018-06-12 01:19:00,25.739,2.914
           2018-06-12 05:29:00,           2018-06-12 01:29:00,25.671,2.811
           2018-06-12 05:39:00,           2018-06-12 01:39:00,25.621,2.745
           2018-06-12 05:49:00,           2018-06-12 01:49:00,25.545,2.722
           2018-06-12 05:59:00,           2018-06-12 01:59:00,25.419,2.638
           2018-06-12 06:09:00,           2018-06-12 02:09:00,25.402,2.518
           2018-06-12 06:19:00,           2018-06-12 02:19:00,25.31,2.581
