LocalDateTime,UTCOffset,DateTimeUTC,PARIn_Avg,PAROut_Avg
1/1/17 0:00,-7,1/1/17 7:00,0.001,0
1/1/17 0:15,-7,1/1/17 7:15,0.002,-0.028
1/1/17 0:30,-7,1/1/17 7:30,-0.008,-0.152
1/1/17 0:45,-7,1/1/17 7:45,0.001,-0.481
1/1/17 1:00,-7,1/1/17 8:00,0.002,-0.468
1/1/17 1:15,-7,1/1/17 8:15,-0.001,-0.366
1/1/17 1:30,-7,1/1/17 8:30,-0.003,-0.628
1/1/17 1:45,-7,1/1/17 8:45,0.005,0.001
1/1/17 2:00,-7,1/1/17 9:00,0.005,-0.147
1/1/17 2:15,-7,1/1/17 9:15,-0.01,0.004
1/1/17 2:30,-7,1/1/17 9:30,0.002,-0.075
1/1/17 2:45,-7,1/1/17 9:45,0,0
1/1/17 3:00,-7,1/1/17 10:00,0.006,-0.008
1/1/17 3:15,-7,1/1/17 10:15,0.001,-0.002
1/1/17 3:30,-7,1/1/17 10:30,-0.005,-0.003
1/1/17 3:45,-7,1/1/17 10:45,-0.005,0.006
1/1/17 4:00,-7,1/1/17 11:00,-0.002,0.002
1/1/17 4:15,-7,1/1/17 11:15,-0.008,0.001
1/1/17 4:30,-7,1/1/17 11:30,-0.006,-0.011
1/1/17 4:45,-7,1/1/17 11:45,0.004,-0.044
1/1/17 5:00,-7,1/1/17 12:00,0.006,-0.002
1/1/17 5:15,-7,1/1/17 12:15,0.004,-0.151
1/1/17 5:30,-7,1/1/17 12:30,-0.004,0
1/1/17 5:45,-7,1/1/17 12:45,-0.002,-0.301
1/1/17 6:00,-7,1/1/17 13:00,-0.006,-0.003
1/1/17 6:15,-7,1/1/17 13:15,-0.003,0
1/1/17 6:30,-7,1/1/17 13:30,-0.003,-0.078
1/1/17 6:45,-7,1/1/17 13:45,-0.004,-0.007
1/1/17 7:00,-7,1/1/17 14:00,-0.003,-0.413
1/1/17 7:15,-7,1/1/17 14:15,0.005,0.008
1/1/17 7:30,-7,1/1/17 14:30,0.101,0.096
1/1/17 7:45,-7,1/1/17 14:45,1.697,1.499
1/1/17 8:00,-7,1/1/17 15:00,9.46,8.97
1/1/17 8:15,-7,1/1/17 15:15,22.26,21.22
1/1/17 8:30,-7,1/1/17 15:30,36.83,35.67
1/1/17 8:45,-7,1/1/17 15:45,52.12,50.84
1/1/17 9:00,-7,1/1/17 16:00,63.49,62.35
1/1/17 9:15,-7,1/1/17 16:15,74.01,73.15
1/1/17 9:30,-7,1/1/17 16:30,82.3,81.9
1/1/17 9:45,-7,1/1/17 16:45,89.5,89.4
1/1/17 10:00,-7,1/1/17 17:00,99.5,99.8
1/1/17 10:15,-7,1/1/17 17:15,107.3,102.7
1/1/17 10:30,-7,1/1/17 17:30,113.6,111.3
1/1/17 10:45,-7,1/1/17 17:45,126.4,126.1
1/1/17 11:00,-7,1/1/17 18:00,177.5,170.7
1/1/17 11:15,-7,1/1/17 18:15,189.3,182.9
1/1/17 11:30,-7,1/1/17 18:30,203.8,204.1
1/1/17 11:45,-7,1/1/17 18:45,193.3,202.9
1/1/17 12:00,-7,1/1/17 19:00,576.1,706.3
1/1/17 12:15,-7,1/1/17 19:15,676.6,1015
1/1/17 12:30,-7,1/1/17 19:30,835,1039
1/1/17 12:45,-7,1/1/17 19:45,915,1027
1/1/17 13:00,-7,1/1/17 20:00,905,1021
1/1/17 13:15,-7,1/1/17 20:15,871,985
1/1/17 13:30,-7,1/1/17 20:30,858,975
1/1/17 13:45,-7,1/1/17 20:45,868,974
1/1/17 14:00,-7,1/1/17 21:00,582.7,627.6
1/1/17 14:15,-7,1/1/17 21:15,642,713.4
1/1/17 14:30,-7,1/1/17 21:30,672.5,764.3
1/1/17 14:45,-7,1/1/17 21:45,633.4,744.2
1/1/17 15:00,-7,1/1/17 22:00,600.6,717.7
1/1/17 15:15,-7,1/1/17 22:15,518.8,618.6
1/1/17 15:30,-7,1/1/17 22:30,453.2,542.4
1/1/17 15:45,-7,1/1/17 22:45,382.5,463.7
1/1/17 16:00,-7,1/1/17 23:00,269.9,304.8
1/1/17 16:15,-7,1/1/17 23:15,128.4,114.8
1/1/17 16:30,-7,1/1/17 23:30,131.1,131.6
1/1/17 16:45,-7,1/1/17 23:45,58,50.61
1/1/17 17:00,-7,1/2/17 0:00,29.4,25.53
1/1/17 17:15,-7,1/2/17 0:15,9.15,7.922
1/1/17 17:30,-7,1/2/17 0:30,1.636,0.614
1/1/17 17:45,-7,1/2/17 0:45,0.121,-0.025
1/1/17 18:00,-7,1/2/17 1:00,0,-0.685
1/1/17 18:15,-7,1/2/17 1:15,-0.001,-0.803
1/1/17 18:30,-7,1/2/17 1:30,0.001,-1.503
1/1/17 18:45,-7,1/2/17 1:45,0,-2.059
1/1/17 19:00,-7,1/2/17 2:00,0,-3.295
1/1/17 19:15,-7,1/2/17 2:15,0,-2.727
1/1/17 19:30,-7,1/2/17 2:30,0,-3.47
1/1/17 19:45,-7,1/2/17 2:45,0,-3.574
1/1/17 20:00,-7,1/2/17 3:00,0,-3.138
1/1/17 20:15,-7,1/2/17 3:15,0,-4.153
1/1/17 20:30,-7,1/2/17 3:30,0.001,-3.628
1/1/17 20:45,-7,1/2/17 3:45,0,-3.967
1/1/17 21:00,-7,1/2/17 4:00,0,-3.735
1/1/17 21:15,-7,1/2/17 4:15,0.001,-5.44
1/1/17 21:30,-7,1/2/17 4:30,0,-2.759
1/1/17 21:45,-7,1/2/17 4:45,0,-2.697
1/1/17 22:00,-7,1/2/17 5:00,0,-0.796
1/1/17 22:15,-7,1/2/17 5:15,0,-2.734
1/1/17 22:30,-7,1/2/17 5:30,-0.001,-2.779
1/1/17 22:45,-7,1/2/17 5:45,0,-1.778
1/1/17 23:00,-7,1/2/17 6:00,0,-1.094
1/1/17 23:15,-7,1/2/17 6:15,0,-1.404
