"chamber","state","siteid","stream","year","month","date","processname","process","blanktype","chamber_size","origilsubstrate","substrate","test","amended_unamended","blank_not","air_not","light_dark","surface_area","temp_initial","temp_final","hour_rate","mean_blank_rate","mean_blank_rate_NAzero","correctedflux","correctedflux_nonegs"
"C1","NC","New Hope Creek 2017-06-03","New Hope Creek",2017,"June",2017-06-03,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.02097703,21.4,24,-9e-04,-0.00677,-0.00677,2.61174564114494,2.61174564114494
"C2","NC","New Hope Creek 2017-06-03","New Hope Creek",2017,"June",2017-06-03,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.02374113,21.4,24.3,-0.00452,-0.00677,-0.00677,0.884540879056726,0.884540879056726
"C4","NC","New Hope Creek 2017-06-03","New Hope Creek",2017,"June",2017-06-03,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.02060368,21.4,24.2,0.00782,-0.00677,-0.00677,6.60917531884272,6.60917531884272
"C5","NC","Eno River 2017-06-04","Eno River",2017,"June",2017-06-04,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.01301223,24.1,28,-0.00801,NA,0,-5.74536416893953,0
"C8","NC","Eno River 2017-06-04","Eno River",2017,"June",2017-06-04,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.01795748,24,26.7,-0.00646,NA,0,-3.357560934682,0
"F12","UT","Lower Knowton Fork Red Butte Creek 2017-07-18","Lower Knowton Fork Red Butte Creek",2017,"July",2017-07-18,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.021041184,11,12.3,-0.01177,-0.003085,-0.003085,-3.85244480538738,0
"F3","UT","Lower Knowton Fork Red Butte Creek 2017-07-18","Lower Knowton Fork Red Butte Creek",2017,"July",2017-07-18,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.020086125,10.3,12.8,-0.0204,-0.003085,-0.003085,-8.04568659543175,0
"G3","UT","Lower Knowton Fork Red Butte Creek 2017-07-18","Lower Knowton Fork Red Butte Creek",2017,"July",2017-07-18,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.014778076,10.6,12.2,0.00081,-0.003085,-0.003085,2.45995035709204,2.45995035709204
"G11","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.020069233,17.8,18.5,0.00283,-0.001865,-0.001865,2.18344168907701,2.18344168907701
"G12","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.014804064,18.1,18.5,-0.00406,-0.001865,-0.001865,-1.3838542353415,0
"F5","ID","South Fork Mink Creek 2017-07-27","South Fork Mink Creek",2017,"July",2017-07-27,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.020582496,14.9,17.5,1.3001,-0.008055,-0.008055,593.195629269971,593.195629269971
"F6","ID","South Fork Mink Creek 2017-07-27","South Fork Mink Creek",2017,"July",2017-07-27,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.016608931,14.7,17.7,0.72949,-0.008055,-0.008055,414.460950757959,414.460950757959
"G1","ID","South Fork Mink Creek 2017-07-27","South Fork Mink Creek",2017,"July",2017-07-27,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018383911,15.2,17.9,0.60101,-0.008055,-0.008055,309.216393979859,309.216393979859
"G9","ID","South Fork Mink Creek 2017-07-27","South Fork Mink Creek",2017,"July",2017-07-27,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.017587379,16,18.3,1.32638,-0.008055,-0.008055,708.162749359451,708.162749359451
"G7","WI","Black Earth Creek 2017-08-08","Black Earth Creek",2017,"August",2017-08-08,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.014325885,17.6,19.1,-0.00972,-0.01311,-0.01311,2.20858955659633,2.20858955659633
"H1","WI","Black Earth Creek 2017-08-08","Black Earth Creek",2017,"August",2017-08-08,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.011599744,17.3,18,-0.0226,-0.01311,-0.01311,-7.63580069813035,0
"D10","NC","New Hope Creek 2018-05-27","New Hope Creek",2018,"May",2018-05-27,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018627956,22.2,23.2,-0.03004,-0.011135,-0.011135,-9.47214319524196,0
"D8","NC","New Hope Creek 2018-05-27","New Hope Creek",2018,"May",2018-05-27,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018936532,22.3,23.5,-0.00973,-0.011135,-0.011135,0.692488642235723,0.692488642235723
