"SiteName","date","ProcessName","origilsubstrate","count","TempInitial_C","TempFinal_C","Flux_ugNm2hr_mean","Flux_ugNm2hr_sd"
"1300 E Red Butte Creek",2017-07-19,"Nfixation_unamended","Rock",2,17.95,18.5,1.0917208445385,1.54392642467176
"1300 E Red Butte Creek",2017-07-19,"Nfixation_unamended","Rock Flock",2,17.95,18.25,0.486884064609155,0.688558047473605
"1300 E Red Butte Creek",2017-07-19,"Nfixation_unamended","Wood",2,18.1,18.6,0.45153011421682,0.6385600113453
"1300 E Red Butte Creek",2017-07-19,"Denitrification_amended","Rock",2,18.05,18.75,48.3692610521605,15.9867056000188
"1300 E Red Butte Creek",2017-07-19,"Denitrification_amended","Rock Flock",2,18.05,18.5,432.176007499384,611.189171137885
"1300 E Red Butte Creek",2017-07-19,"Denitrification_amended","Wood",2,18.2,18.8,768.169214529336,645.948142958547
"1300 E Red Butte Creek",2017-07-19,"Denitrification_unamended","Rock",2,18.15,18.45,103.783167298359,146.771562739375
"1300 E Red Butte Creek",2017-07-19,"Denitrification_unamended","Rock Flock",2,18,18.3,610.440193397428,369.053730281808
"1300 E Red Butte Creek",2017-07-19,"Denitrification_unamended","Wood",2,18.1,18.8,41.9842657047505,21.7980698151933
"Alexander Springs",2018-06-02,"Nfixation_unamended","Macrophyte",4,25,26.125,131.898605069494,119.55694569407
"Alexander Springs",2018-06-02,"Nfixation_unamended","Sediment",3,25,25.9,10.9474281332393,9.72401462023358
"Alexander Springs",2018-06-02,"Nfixation_unamended","Wood",2,24.85,26.15,8.83251475548786,12.3412350908037
"Alexander Springs",2018-06-02,"Denitrification_amended","Macrophyte",2,24.15,26.1,6641.626283807,9392.67796677348
"Alexander Springs",2018-06-02,"Denitrification_amended","Sediment",3,24.9666666666667,26.1333333333333,231.157387712099,206.116607745233
"Alexander Springs",2018-06-02,"Denitrification_amended","Wood",2,25.3,26.2,897.842458953156,491.08740258201
"Alexander Springs",2018-06-02,"Denitrification_unamended","Macrophyte",2,25.6,25.65,11772.956090108,16649.4741718537
"Alexander Springs",2018-06-02,"Denitrification_unamended","Sediment",3,24.8666666666667,26.1666666666667,518.787418771558,719.002224839683
"Alexander Springs",2018-06-02,"Denitrification_unamended","Wood",2,24.5,26.05,661.589023950974,572.510758821757
"Arikaree River",2017-07-11,"Nfixation_unamended","Macrophyte",4,29.375,30.75,462.175352587701,510.080942201785
"Arikaree River",2017-07-11,"Nfixation_unamended","Sediment",5,29.96,31.26,62.0289788397501,64.0084880326964
"Arikaree River",2017-07-11,"Denitrification_amended","Macrophyte",4,28.75,30.5,10640.1499698223,8260.01565964344
"Arikaree River",2017-07-11,"Denitrification_amended","Sediment",5,29.06,30.92,15911.2727283353,4697.34578609398
"Arikaree River",2017-07-11,"Denitrification_unamended","Macrophyte",4,28.95,30.875,317.886105480926,194.929979068086
"Arikaree River",2017-07-11,"Denitrification_unamended","Sediment",5,29.4,30.96,1140.92803770977,955.117656352995
"Arikaree River",2019-05-24,"Nfixation_unamended","Algae",3,17.6333333333333,21.3333333333333,376.844587657042,154.58295927517
"Arikaree River",2019-05-24,"Nfixation_unamended","Sediment",3,20.3666666666667,23.3333333333333,11.5619918355037,9.85082527648464
"Arikaree River",2019-05-24,"Denitrification_amended","Algae",3,15.7666666666667,21.4666666666667,1725.52729710215,1505.41863361373
"Arikaree River",2019-05-24,"Denitrification_amended","Sediment",3,17.8333333333333,22.3,1816.52127444559,1381.69169495866
"Arikaree River",2019-05-24,"Denitrification_unamended","Algae",3,16.6,20.8,779.382069131731,674.972203041294
"Arikaree River",2019-05-24,"Denitrification_unamended","Sediment",3,20.1333333333333,22.9666666666667,280.091393520632,485.132524340504
"Black Earth Creek",2017-08-08,"Nfixation_unamended","Macrophyte",2,15.7,18.55,0.214732857438405,0.303678119276521
"Black Earth Creek",2017-08-08,"Nfixation_unamended","Rock",2,17.45,18.55,1.10429477829816,1.56170865232705
"Black Earth Creek",2017-08-08,"Nfixation_unamended","Sediment",3,18,18.8,1.32490958856342,1.20780452850588
"Black Earth Creek",2017-08-08,"Nfixation_unamended","Wood",2,19.4,18.7,2.158178045094,0.599049928003567
"Black Earth Creek",2017-08-08,"Denitrification_amended","Macrophyte",3,15.6333333333333,18.1333333333333,39.3230712745571,34.5528082720404
"Black Earth Creek",2017-08-08,"Denitrification_amended","Rock",2,17.55,18.05,567.419477630494,119.438666421458
"Black Earth Creek",2017-08-08,"Denitrification_amended","Sediment",3,17.6666666666667,19.0666666666667,30640.967444754,7700.8637244035
"Black Earth Creek",2017-08-08,"Denitrification_amended","Wood",2,18.85,18.7,3213.53689342366,4530.81079174952
"Black Earth Creek",2017-08-08,"Denitrification_unamended","Macrophyte",2,15.9333333333333,18.35,0,0
"Black Earth Creek",2017-08-08,"Denitrification_unamended","Sediment",3,17.6,18.9,14278.2736719541,1770.83733590752
"Black Earth Creek",2017-08-08,"Denitrification_unamended","Wood",2,18.4,18.65,367.727755365495,520.045578898899
"Blacktail Deer Creek",2019-07-30,"Nfixation_unamended","Rock",3,14.1,16,314.104663799309,212.684858288755
"Blacktail Deer Creek",2019-07-30,"Nfixation_unamended","Sediment",2,15.3,16.85,1.83940604455116,0.357387359344483
"Blacktail Deer Creek",2019-07-30,"Nfixation_unamended","Wood",2,15.35,17.15,6.68448906257912,8.83171614064326
"Blacktail Deer Creek",2019-07-30,"Denitrification_amended","Rock",0,13.2666666666667,15.5666666666667,NA,NA
"Blacktail Deer Creek",2019-07-30,"Denitrification_amended","Sediment",0,14.75,16.7,NA,NA
"Blacktail Deer Creek",2019-07-30,"Denitrification_amended","Wood",0,15,17.05,NA,NA
"Blacktail Deer Creek",2019-07-30,"Denitrification_unamended","Rock",0,14.3666666666667,16.0666666666667,NA,NA
"Blacktail Deer Creek",2019-07-30,"Denitrification_unamended","Sediment",0,15.65,16.6,NA,NA
"Blacktail Deer Creek",2019-07-30,"Denitrification_unamended","Wood",0,15.35,17.05,NA,NA
"Blaine Creek",2019-08-10,"Nfixation_unamended","Macrophyte",2,17.2,22,0.216708735298743,0.2127420052827
"Blaine Creek",2019-08-10,"Nfixation_unamended","Rock",3,15.1666666666667,17.3333333333333,0.818038484626316,0.36369631345417
"Blaine Creek",2019-08-10,"Nfixation_unamended","Sediment",1,16.5,20.9,0.299563551156966,NA
"Blaine Creek",2019-08-10,"Nfixation_unamended","Wood",2,16.5,19,0.159110714131334,0.2250165298434
"Blaine Creek",2019-08-10,"Denitrification_amended","Macrophyte",2,17.5,21.95,0,0
"Blaine Creek",2019-08-10,"Denitrification_amended","Rock",3,15.5,18.9333333333333,160.29483696401,277.638801812634
"Blaine Creek",2019-08-10,"Denitrification_amended","Sediment",1,16.3,21,30117.9155589804,NA
"Blaine Creek",2019-08-10,"Denitrification_amended","Wood",2,16.05,20,0,0
"Blaine Creek",2019-08-10,"Denitrification_unamended","Macrophyte",2,17.4,20.6,0,0
"Blaine Creek",2019-08-10,"Denitrification_unamended","Rock",2,15.15,17.65,0,0
"Blaine Creek",2019-08-10,"Denitrification_unamended","Sediment",1,16,20.4,10653.7366365029,NA
"Blaine Creek",2019-08-10,"Denitrification_unamended","Wood",1,17,20.35,1140.7022871632,NA
"Brewery Creek",2017-08-11,"Nfixation_unamended","Macrophyte",2,15.5,18.4,0,0
"Brewery Creek",2017-08-11,"Nfixation_unamended","Sediment",3,15.2333333333333,17.9,0,0
"Brewery Creek",2017-08-11,"Nfixation_unamended","Wood",2,15.3,16.8,0.597570908404246,0.845092883144895
"Brewery Creek",2017-08-11,"Denitrification_amended","Macrophyte",2,15.45,18.5,70.6231960912253,99.8762817303454
"Brewery Creek",2017-08-11,"Denitrification_amended","Sediment",3,15.3333333333333,18.4666666666667,17837.1180007985,12037.3856466901
"Brewery Creek",2017-08-11,"Denitrification_amended","Wood",3,15.2666666666667,17.0666666666667,1495.50402194269,1293.75687579982
"Brewery Creek",2017-08-11,"Denitrification_unamended","Macrophyte",2,15.4,18.55,796.470308213894,157.083945113097
"Brewery Creek",2017-08-11,"Denitrification_unamended","Sediment",3,15.3333333333333,18.2333333333333,9070.25416856932,4460.0020195162
"Brewery Creek",2017-08-11,"Denitrification_unamended","Wood",3,15.2333333333333,16.8,412.132442519506,410.209455967875
"Caribou Creek",2019-07-09,"Nfixation_unamended","Rock",3,6.23333333333333,7.33333333333333,0.153280085362225,0.265488895635868
"Caribou Creek",2019-07-09,"Nfixation_unamended","Sediment",2,7.2,8.15,0.054752521947787,0.0774317591126909
"Caribou Creek",2019-07-09,"Nfixation_unamended","Wood",2,7,7.9,0.0219767112306541,0.0310797630787481
"Caribou Creek",2019-07-09,"Denitrification_amended","Rock",3,6.2,7.5,697.541392358872,1208.1771319479
"Caribou Creek",2019-07-09,"Denitrification_amended","Sediment",2,6.55,8.05,0,0
"Caribou Creek",2019-07-09,"Denitrification_amended","Wood",2,6.55,7.7,0,0
"Caribou Creek",2019-07-09,"Denitrification_unamended","Rock",3,6.23333333333333,7.56666666666667,559.220414960524,492.399360896281
"Caribou Creek",2019-07-09,"Denitrification_unamended","Sediment",2,6.4,7.8,1721.88766785484,389.456665966297
"Caribou Creek",2019-07-09,"Denitrification_unamended","Wood",2,7.1,7.85,1253.19967185895,1317.38981812819
"Dowst Cate Forest",2018-08-10,"Nfixation_unamended","Pebble",2,22.6,23.25,0,0
"Dowst Cate Forest",2018-08-10,"Nfixation_unamended","Rock",3,22.3,23.1333333333333,0,0
"Dowst Cate Forest",2018-08-10,"Nfixation_unamended","Wood",1,22.5,23.5,0,NA
"Dowst Cate Forest",2018-08-10,"Denitrification_amended","Pebble",2,22.3,23.25,3176.30807024328,4491.97795121316
"Dowst Cate Forest",2018-08-10,"Denitrification_amended","Rock",3,22.2333333333333,23.1333333333333,82.8296265262646,17.7689792812491
"Dowst Cate Forest",2018-08-10,"Denitrification_amended","Wood",2,22.6,23.45,228.466580040062,186.966303210215
"Dowst Cate Forest",2018-08-10,"Denitrification_unamended","Pebble",1,22.6,23.45,171.984457799229,NA
"Dowst Cate Forest",2018-08-10,"Denitrification_unamended","Rock",3,22.3,23.1333333333333,0,0
"Dowst Cate Forest",2018-08-10,"Denitrification_unamended","Wood",2,22.55,23.6,0,0
"Eno River",2017-06-04,"Nfixation_unamended","Clay",1,23.8,25.8,3.62657734095826,NA
"Eno River",2017-06-04,"Nfixation_unamended","Rock",2,24.05,27.35,0,0
"Eno River",2017-06-04,"Nfixation_unamended","Sediment",2,23.5,26.3,4.30837388105842,2.89261774136607
"Eno River",2017-06-04,"Nfixation_unamended","Wood",2,23.9,26.6,0,0
"Eno River",2017-06-04,"Denitrification_amended","Clay",2,23.75,25.6,0,0
"Eno River",2017-06-04,"Denitrification_amended","Rock",2,24.05,27.05,0,0
"Eno River",2017-06-04,"Denitrification_amended","Sediment",3,23.4333333333333,25.4333333333333,3457.60145336641,1267.19205150644
"Eno River",2017-06-04,"Denitrification_amended","Wood",2,24.15,27.2,4775.91976804283,6754.17050877193
"Eno River",2017-06-04,"Denitrification_unamended","Clay",2,23.75,25.55,8608.15218457248,1225.83075475227
"Eno River",2017-06-04,"Denitrification_unamended","Sediment",3,23,25.3333333333333,7794.35104995527,3334.81061147899
"Eno River",2017-06-04,"Denitrification_unamended","Wood",1,24.1,26.55,2450.50612581109,NA
"Hop Brook",2018-08-15,"Nfixation_unamended","Rock",3,19.0666666666667,20.1333333333333,0,0
"Hop Brook",2018-08-15,"Nfixation_unamended","Sediment",2,19.55,20.45,0,0
"Hop Brook",2018-08-15,"Nfixation_unamended","Wood",2,19.85,20.7,0,0
"Hop Brook",2018-08-15,"Denitrification_amended","Rock",3,18.9666666666667,20.2,49.4719317460962,85.6878993328183
"Hop Brook",2018-08-15,"Denitrification_amended","Sediment",2,19.6,20.55,2618.63601007277,3334.00614238099
"Hop Brook",2018-08-15,"Denitrification_amended","Wood",2,19.75,20.8,204.765305869491,289.581872664109
"Hop Brook",2018-08-15,"Denitrification_unamended","Rock",3,19.0666666666667,20.2666666666667,112.485104781784,194.829916576758
"Hop Brook",2018-08-15,"Denitrification_unamended","Sediment",2,19.6,20.5,590.568602896309,835.190127727691
"Hop Brook",2018-08-15,"Denitrification_unamended","Wood",2,19.8,20.8,33.7966323877002,47.7956558852234
"Hubbard Brook",2018-08-07,"Nfixation_unamended","Bedrock scrape",4,20.225,20.15,0,0
"Hubbard Brook",2018-08-07,"Nfixation_unamended","Rock",6,20.2833333333333,20.1,0,0
"Hubbard Brook",2018-08-07,"Denitrification_amended","Bedrock scrape",2,20,20.25,222.551788407701,314.735757496558
"Hubbard Brook",2018-08-07,"Denitrification_amended","Rock",3,19.5666666666667,20.1333333333333,9.50676566545947,16.4662011482271
"Hubbard Brook",2018-08-07,"Denitrification_unamended","Bedrock scrape",2,20.15,20.15,106.775252624293,0
"Hubbard Brook",2018-08-07,"Denitrification_unamended","Rock",3,20.4,20.1,24.7015185656005,22.2040549805888
"Ichetucknee River",2018-05-31,"Nfixation_unamended","Macrophyte",3,22.8333333333333,24.1333333333333,1.96908626788289,1.73238497022491
"Ichetucknee River",2018-05-31,"Nfixation_unamended","Sediment",2,22.45,24.2,14.6078535293799,20.6586245784087
