SiteName,date,MapAnalyist,TotalSquares,bedrock,boulder_bigRock,rock,cobble,pebble,clay,silt,sand,sediment,CWD,Vegetation_Algae,DeadVegetation,leaf litter,FPOM
New Hope Creek,6/3/17,Caleigh Meehan,2599,,,315,853,19,80,,827,45,441,,,,19
Eno River,6/4/17,Caleigh Meehan,2469,,3,1119,,,,,69,738,69,450,10,,11
Arikaree River,7/11/17,Ellie Connett,344,0,0,0,0,0,0,0,0,205,0,139,0,0,0
Lower Knowton Fork Red Butte Creek,7/18/17,Ellie Connett,806,0,0,500,0,0,0,0,195,91,20,0,0,0,0
1300 E Red Butte Creek,7/19/17,Ellie Connett,431,74,137,153,0,0,0,0,0,54,13,0,0,0,0
South Fork Mink Creek,7/27/17,Ellie Connett,1141,0,0,763,0,0,0,0,0,250,28,100,0,0,0
Black Earth Creek,8/8/17,Ellie Connett,987,0,0,10,0,0,0,0,0,496,10,469,2,0,0
Brewery Creek,8/11/17,Ellie Connett,1156,0,0,0,0,0,409,0,0,354,258,135,0,0,0
New Hope Creek,5/27/18,Ellie Connett,1800,0,270,993,0,10,0,0,304,9,90,124,0,0,0
Ichetucknee River,5/31/18,Ellie Connett,1442,0,0,0,0,0,0,0,0,496,508,438,0,0,0
Alexander Springs,6/2/18,Ellie Connett,402,0,0,0,0,0,0,0,0,124,24,254,0,0,0
Pringle Creek,6/9/18,Ellie Connett,1065,0,0,0,112,251,0,0,703,0,0,0,0,0,0
McDiffett Creek,6/12/18,Ellie Connett,376,0,0,147,0,0,55,0,0,117,0,0,0,57,0
Kings Creek,6/13/18,Ellie Connett,446,0,0,264,0,0,0,0,0,64,0,64,0,0,54
Pilgrim River,6/21/18,Ellie Connett,1656,0,12,1166,0,0,0,0,77,231,128,36,0,0,6
Pilgrim River,7/17/18,Ellie Connett,816,0,127,383,0,0,0,0,204,83,19,0,0,0,0
Hubbard Brook,8/7/18,Ellie Connett,1006,0,16,990,0,0,0,0,0,0,0,0,0,0,0
Wednesday Hill Brook,8/9/18,Ellie Connett,835,0,0,555,0,0,0,0,0,219,61,0,0,0,0
Dowst Cate Forest,8/10/18,Ellie Connett,398,0,0,275,0,73,0,0,0,0,50,0,0,0,0
Hop Brook,8/15/18,Ellie Connett,654,0,0,614,0,0,0,0,0,20,20,0,0,0,0
Rio Guillarte,2/21/19,Ellie Connett,302,0,10,172,100,0,0,0,0,0,3,17,0,0,0
Rio Cupeyes,2/23/19,Ellie Connett,593,0,0,301,0,292,0,0,0,0,0,0,0,0,0
Quebrada Prieta,3/3/19,Ellie Connett,476,0,247,1,0,228,0,0,0,0,0,0,0,0,0
Quebrada Sonadora,3/5/19,Ellie Connett,769,0,259,260,0,0,0,0,0,0,250,0,0,0,0
Kings Creek,5/10/19,Ellie Connett,1008,0,0,389,0,168,199,0,0,223,29,0,0,0,0
Sycamore Creek,5/14/19,Ellie Connett,470,0,0,45,0,189,0,0,0,0,2,234,0,0,0
Wet Beaver Creek,5/16/19,Ellie Connett,406,0,0,360,0,0,0,0,0,23,23,0,0,0,0
Arikaree River,5/24/19,Ellie Connett,602,0,0,0,0,0,0,0,160,0,0,221,221,0,0
Pilgrim River,6/13/19,Ellie Connett,378,0,0,56,0,88,0,0,0,174,30,0,0,0,30
Caribou Creek,7/9/19,Ellie Connett,653,0,0,550,0,0,0,0,103,0,0,0,0,0,0
Poker Creek,7/10/19,Ellie Connett,713,0,162,283,0,0,0,0,172,0,0,0,0,0,96
Blacktail Deer Creek,7/30/19,Ellie Connett,319,0,0,310,0,0,0,0,0,9,0,0,0,0,0
McRae Creek,8/3/19,Ellie Connett,702,0,16,684,0,0,0,0,0,2,0,0,0,0,0
Martha Creek,8/6/19,Ellie Connett,315,0,0,261,0,27,0,0,0,27,0,0,0,0,0
Blaine Creek,8/10/19,Ellie Connett,384,0,0,0,0,0,0,0,0,0,0,384,0,0,0
Pilgrim River,9/9/19,Ellie Connett,394,0,0,165,0,0,0,0,0,229,0,0,0,0,0
