SiteName,date,bedrock,boulder_bigRock,rock,cobble,pebble,clay,silt,sand,sediment,CWD,Vegetation_Algae,DeadVegetation,leaf litter,FPOM
New Hope Creek,6/3/17,0,0,0.121200462,0.328203155,0.007310504,0.03078107,0,0.318199307,0.017314352,0.169680646,0,0,0,0.007310504
Eno River,6/4/17,0,0.001215067,0.453219927,0,0,0,0,0.027946537,0.29890644,0.027946537,0.182260024,0.004050223,0,0.004455245
Arikaree River,7/11/17,0,0,0,0,0,0,0,0,0.595930233,0,0.404069767,0,0,0
Lower Knowton Fork Red Butte Creek,7/18/17,0,0,0.620347395,0,0,0,0,0.241935484,0.112903226,0.024813896,0,0,0,0
1300 E Red Butte Creek,7/19/17,0.171693735,0.317865429,0.354988399,0,0,0,0,0,0.125290023,0.030162413,0,0,0,0
South Fork Mink Creek,7/27/17,0,0,0.668711656,0,0,0,0,0,0.219106047,0.024539877,0.087642419,0,0,0
Black Earth Creek,8/8/17,0,0,0.010131712,0,0,0,0,0,0.502532928,0.010131712,0.475177305,0.002026342,0,0
Brewery Creek,8/11/17,0,0,0,0,0,0.353806228,0,0,0.306228374,0.223183391,0.116782007,0,0,0
New Hope Creek,5/27/18,0,0.15,0.551666667,0,0.005555556,0,0,0.168888889,0.005,0.05,0.068888889,0,0,0
Ichetucknee River,5/31/18,0,0,0,0,0,0,0,0,0.343966713,0.352288488,0.303744799,0,0,0
Alexander Springs,6/2/18,0,0,0,0,0,0,0,0,0.308457711,0.059701493,0.631840796,0,0,0
Pringle Creek,6/9/18,0,0,0,0.105164319,0.235680751,0,0,0.660093897,0,0,0,0,0,0
McDiffett Creek,6/12/18,0,0,0.390957447,0,0,0.146276596,0,0,0.311170213,0,0,0,0.151595745,0
Kings Creek,6/13/18,0,0,0.591928251,0,0,0,0,0,0.143497758,0,0.143497758,0,0,0.121076233
Pilgrim River,6/21/18,0,0.007246377,0.70410628,0,0,0,0,0.046497585,0.139492754,0.077294686,0.02173913,0,0,0.003623188
Pilgrim River,7/17/18,0,0.155637255,0.469362745,0,0,0,0,0.25,0.101715686,0.023284314,0,0,0,0
Hubbard Brook,8/7/18,0,0.015904573,0.984095427,0,0,0,0,0,0,0,0,0,0,0
Wednesday Hill Brook,8/9/18,0,0,0.664670659,0,0,0,0,0,0.262275449,0.073053892,0,0,0,0
Dowst Cate Forest,8/10/18,0,0,0.690954774,0,0.183417085,0,0,0,0,0.125628141,0,0,0,0
Hop Brook,8/15/18,0,0,0.93883792,0,0,0,0,0,0.03058104,0.03058104,0,0,0,0
Rio Guillarte,2/21/19,0,0.033112583,0.569536424,0.331125828,0,0,0,0,0,0.009933775,0.056291391,0,0,0
Rio Cupeyes,2/23/19,0,0,0.507588533,0,0.492411467,0,0,0,0,0,0,0,0,0
Quebrada Prieta,3/3/19,0,0.518907563,0.00210084,0,0.478991597,0,0,0,0,0,0,0,0,0
Quebrada Sonadora,3/5/19,0,0.33680104,0.33810143,0,0,0,0,0,0,0.325097529,0,0,0,0
Kings Creek,5/10/19,0,0,0.385912698,0,0.166666667,0.197420635,0,0,0.221230159,0.028769841,0,0,0,0
Sycamore Creek,5/14/19,0,0,0.095744681,0,0.40212766,0,0,0,0,0.004255319,0.49787234,0,0,0
Wet Beaver Creek,5/16/19,0,0,0.886699507,0,0,0,0,0,0.056650246,0.056650246,0,0,0,0
Arikaree River,5/24/19,0,0,0,0,0,0,0,0.265780731,0,0,0.367109635,0.367109635,0,0
Pilgrim River,6/13/19,0,0,0.148148148,0,0.232804233,0,0,0,0.46031746,0.079365079,0,0,0,0.079365079
Caribou Creek,7/9/19,0,0,0.842266462,0,0,0,0,0.157733538,0,0,0,0,0,0
Poker Creek,7/10/19,0,0.227208976,0.396914446,0,0,0,0,0.241234222,0,0,0,0,0,0.134642356
Blacktail Deer Creek,7/30/19,0,0,0.971786834,0,0,0,0,0,0.028213166,0,0,0,0,0
McRae Creek,8/3/19,0,0.022792023,0.974358974,0,0,0,0,0,0.002849003,0,0,0,0,0
Martha Creek,8/6/19,0,0,0.828571429,0,0.085714286,0,0,0,0.085714286,0,0,0,0,0
Blaine Creek,8/10/19,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pilgrim River,9/9/19,0,0,0.418781726,0,0,0,0,0,0.581218274,0,0,0,0,0
