SiteName,date,richness,simpsonsInfo,shannonsEvenness
1300 E Red Butte Creek,7/19/17,2,1.400226136,0.358211474
Alexander Springs,6/2/18,3,2.008301438,0.747443688
Arikaree River,7/11/17,2,1.928992925,0.973281529
Arikaree River,5/24/19,2,1.640104267,0.835344881
Black Earth Creek,8/8/17,4,2.081304202,0.571222314
Blacktail Deer Creek,7/30/19,2,1.058015616,0.18535026
Blaine Creek,8/10/19,1,1,NA
Brewery Creek,8/11/17,3,2.003628415,0.78255533
Caribou Creek,7/9/19,2,1.361854819,0.628859782
Dowst Cate Forest,8/10/18,2,1.281544287,0.545325259
Eno River,6/4/17,3,3.154003918,0.750391177
Hop Brook,8/15/18,3,1.132134804,0.24808338
Hubbard Brook,8/7/18,1,1,NA
Ichetucknee River,5/31/18,3,2.987918221,0.998133336
Kings Creek,6/13/18,2,2.378808898,0.955318014
Kings Creek,5/10/19,3,2.077101399,0.723077223
Lower Knowton Fork Red Butte Creek,7/18/17,3,1.955580437,0.687746882
Martha Creek,8/6/19,2,1.185866407,0.422000517
McDiffett Creek,6/12/18,2,2.761627562,1.045862955
McRae Creek,8/3/19,2,1.005714239,0.028193634
New Hope Creek,6/3/17,3,2.652800091,0.934585145
New Hope Creek,5/27/18,3,1.876522499,0.636226526
Pilgrim River,6/21/18,3,1.82498283,0.687635743
Pilgrim River,7/17/18,3,1.942233761,0.681605101
Pilgrim River,6/13/19,3,2.258964147,0.820670941
Pilgrim River,9/9/19,2,1.948585344,0.980882193
Poker Creek,7/10/19,2,1.883901738,0.955077647
Pringle Creek,6/9/18,2,1.8119247,0.924834087
Quebrada Prieta,3/3/19,1,1,NA
Quebrada Sonadora,3/5/19,2,1.781953894,0.909838931
Rio Cupeyes,2/23/19,1,1,NA
Rio Guillarte,2/21/19,2,1.142721109,0.325969097
South Fork Mink Creek,7/27/17,4,1.9862309,0.653600664
Sycamore Creek,5/14/19,3,2.017056868,0.653256982
Wednesday Hill Brook,8/9/18,3,1.938313682,0.740627508
Wet Beaver Creek,5/16/19,3,1.261583678,0.393127383
