SiteName,date,richness,simpsonsInfo,shannonsEvenness
1300 E Red Butte Creek,7/19/17,5,3.661108812,0.870082124
Alexander Springs,6/2/18,3,2.008301437,0.747443688
Arikaree River,7/11/17,2,1.928992925,0.973281529
Arikaree River,5/24/19,3,2.939634334,0.990284723
Black Earth Creek,8/8/17,5,2.08967976,0.50015698
Blacktail Deer Creek,7/30/19,2,1.058015616,0.185350261
Blaine Creek,8/10/19,1,1,NA
Brewery Creek,8/11/17,4,3.541032259,0.948939689
Caribou Creek,7/9/19,2,1.361854817,0.62885978
Dowst Cate Forest,8/10/18,3,1.898099552,0.752871115
Eno River,6/4/17,8,3.034239944,0.617686952
Hop Brook,8/15/18,3,1.132134803,0.248083378
Hubbard Brook,8/7/18,2,1.032314792,0.117782514
Ichetucknee River,5/31/18,3,2.987918221,0.998133336
Kings Creek,6/13/18,4,2.461709816,0.810221281
Kings Creek,5/10/19,5,3.767162497,0.883659326
Lower Knowton Fork Red Butte Creek,7/18/17,4,2.189493977,0.705128543
Martha Creek,8/6/19,3,1.426076834,0.52518019
McDiffit Creek,6/12/18,4,3.400750505,0.93602578
McRae Creek,8/3/19,3,1.052739065,0.116684785
New Hope Creek,6/3/17,8,3.940058598,0.73869136
New Hope Creek,5/27/18,7,2.757395181,0.66935286
Pilgrim River,6/21/18,7,1.908766303,0.514740609
Pilgrim River,7/17/18,5,3.145518792,0.814655657
Pilgrim River,6/13/19,5,3.326287364,0.858390989
Pilgrim River,9/9/19,2,1.948585344,0.980882193
Poker Creek,7/10/19,4,3.502780208,0.949630942
Quebrada Prieta,3/3/19,3,2.005203816,0.642577599
Pringle Creek,6/9/18,3,1.990727577,0.775217679
Rio Cupeyes,2/23/19,2,1.999539419,0.999833836
Rio Guillarte,2/21/19,5,2.281126507,0.625813023
Quebrada Sonadora,3/5/19,3,2.99907699,0.999859362
South Fork Mink Creek,7/27/17,4,1.986230897,0.653600665
Sycamore Creek,5/14/19,4,2.387953214,0.693511078
Wednesday Hill Brook,8/9/18,3,1.938313683,0.740627508
Wet Beaver Creek,5/16/19,3,1.261583676,0.393127384
