SiteName,date,Q_Ls,K600_d
Arikaree River,2017-07-11,NA,NA
Arikaree River,2019-05-24,63.75,NA
Blacktail Deer Creek,2019-07-30,140.87,3.688
Caribou Creek,2019-07-09,160.871,1.28
Hop Brook,2018-08-15,NA,NA
Kings Creek,2018-06-13,NA,NA
Kings Creek,2019-05-10,NA,NA
Martha Creek,2019-08-06,NA,NA
McDiffit Creek,2018-06-12,0.523,0.234
McRae Creek,2019-08-03,NA,NA
Pringle Creek,2018-06-09,12.25,2.092
Rio Cupeyes,2019-02-23,22.909,4.406
Rio Yahuecas,2019-02-21,61.579,2.98
Sycamore Creek,2019-05-14,28.04,2.247
