SiteName,date,GPP,ER,K600,DO_R2,Rhat_GPP,Rhat_ER,Rhat_K600
1300 E Red Butte Creek,2017-07-19,0.946 (±0.33),-6.27 (±2.054),11.195 (±3.684),1 (±0.001),1.008,1.009,1.009
Alexander Springs,2018-06-02,NA (±NA),NA (±NA),NA (±NA),NA (±NA),NA,NA,NA
Arikaree River,2017-07-11,NA (±NA),NA (±NA),NA (±NA),NA (±NA),NA,NA,NA
Arikaree River,2019-05-24,1.57 (±0.091),-2.974 (±0.163),11.027 (±0.626),1 (±0),1.012,1.012,1.01
Black Earth Creek,2017-08-08,9.256 (±0.259),-13.586 (±0.419),9.402 (±0.31),1 (±0),1.005,1.005,1.005
Blacktail Deer Creek,2019-07-30,-0.276 (±0.129),2.505 (±1.363),6.005 (±3.981),1 (±0),1.147,1.142,1.144
Blaine Creek,2019-08-10,13.977 (±0.795),-14.077 (±0.858),14.65 (±0.863),1 (±0),1.004,1.003,1.003
Brewery Creek,2017-08-11,2.03 (±0.105),-3.68 (±0.245),4.365 (±0.345),1 (±0),1.012,1.017,1.017
Caribou Creek,2019-07-09,-0.58 (±0.014),0.292 (±0.032),1.162 (±0.127),1 (±0),1.014,1.032,1.035
Dowst Cate Forest,2018-08-10,-0.159 (±0.014),-0.141 (±0.098),2.037 (±0.515),1 (±0),1.055,1.167,1.157
Eno River,2017-06-04,0.821 (±0.305),-5.558 (±1.856),5.116 (±1.835),0.998 (±0.003),1.002,1.004,1.004
Hop Brook,2018-08-15,-0.222 (±0.029),0.06 (±0.11),1.852 (±1.267),1 (±0),1.023,1.027,1.024
Hubbard Brook,2018-08-07,NA (±NA),NA (±NA),NA (±NA),NA (±NA),NA,NA,NA
Ichetucknee River,2018-05-31,9.993 (±0.764),-24.689 (±2.381),4.45 (±0.52),1 (±0),1.001,1.001,1.001
Kings Creek,2018-06-13,0.883 (±0.182),-2.366 (±0.795),0.956 (±0.568),1 (±0),1.004,1.002,1.002
Kings Creek,2019-05-10,NA (±NA),NA (±NA),NA (±NA),NA (±NA),NA,NA,NA
Lower Knowton Fork Red Butte Creek,2017-07-18,-0.034 (±0.009),-14.829 (±2.003),87.927 (±11.821),1 (±0),1.158,1.665,1.665
Martha Creek,2019-08-06,0.447 (±0.084),-9.99 (±1.704),44.711 (±7.602),0.999 (±0.001),1.111,1.116,1.116
McDiffit Creek,2018-06-12,0.537 (±0.066),-0.881 (±0.194),0.973 (±0.499),0.999 (±0.001),1.001,1.003,1.003
McRae Creek,2019-08-03,NA (±NA),NA (±NA),NA (±NA),NA (±NA),NA,NA,NA
New Hope Creek,2017-06-03,1.083 (±0.168),-2.743 (±0.435),4.944 (±0.918),0.999 (±0.001),1.002,1.002,1.003
New Hope Creek,2018-05-27,0.622 (±0.186),-3.054 (±0.798),4.26 (±1.278),0.991 (±0.004),1,1,1.001
Pilgrim River,2018-06-21,0.392 (±0.173),-6.104 (±1.137),18.111 (±3.063),1 (±0),1.015,1.015,1.015
Pilgrim River,2018-07-17,4.448 (±0.399),-9.868 (±0.843),15.124 (±1.212),1 (±0),1.009,1.009,1.009
Pilgrim River,2019-06-13,11.835 (±1.347),-22.737 (±2.472),20.77 (±2.176),1 (±0),1.015,1.016,1.016
Pilgrim River,2019-09-09,NA (±NA),NA (±NA),NA (±NA),NA (±NA),NA,NA,NA
Poker Creek,2019-07-10,0.875 (±0.157),-0.363 (±0.119),14.451 (±1.473),1 (±0),1.012,1.011,1.011
Pringle Creek,2018-06-09,1.731 (±0.543),-2.259 (±0.815),1.728 (±0.572),0.987 (±0.009),1.001,1.001,1
Quebrada Prieta,2019-03-03,-0.016 (±0.013),-0.06 (±0.022),4.292 (±1.281),0.998 (±0.002),1.006,1.007,1.015
Quebrada Sonadora,2019-03-05,-0.039 (±0.016),-0.696 (±0.157),15.474 (±3.218),0.999 (±0.001),1.025,1.014,1.014
Rio Cupeyes,2019-02-23,-0.006 (±0.01),-0.072 (±0.061),2.948 (±1.948),0.999 (±0.001),1.007,1.011,1.011
Rio Guillarte,2019-02-21,3.514 (±0.404),-1.615 (±0.224),27.409 (±3.131),1 (±0),1.012,1.012,1.012
South Fork Mink Creek,2017-07-27,-0.035 (±0.106),-1.065 (±0.663),4.906 (±2.554),1 (±0),1.035,1.041,1.041
Sycamore Creek,2019-05-14,NA (±NA),NA (±NA),NA (±NA),NA (±NA),NA,NA,NA
Wednesday Hill Brook,2018-08-09,-0.007 (±0.017),-0.963 (±0.295),16.135 (±4.611),1 (±0),1.022,1.03,1.031
Wet Beaver Creek,2019-05-16,1.99 (±0.313),-5.475 (±0.817),33.854 (±4.884),1 (±0),1.01,1.01,1.01
